ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
1865,C,Victor Caratini,GoldLounge Gang,34061,9,9,37,30,6,3,1,0,2,3,6,7,0,0,0,0,9,1,.346,.211,4,-0.8,-0.1,0,0,-0.8,0.0,0.3,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3193,C,Mike Grady,Scranton,40176,4,3,15,15,1,1,0,0,0,0,0,0,0,0,0,0,7,1,.061,.125,-2,-4.5,-0.4,0,0,-4.5,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2191,C,Mike Grady,Snowdonia,40176,5,5,17,17,2,1,0,0,1,2,2,0,0,0,0,0,5,0,.159,.091,0,-3.5,-0.3,0,0,-3.5,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,3,3,6,4,2,0,0,0,1.000,3.00,-0.3,.814,0,0,18.0,0,0,0.00,3,3,2,2,1,0,2,1,0,0,0,0.0,0.0
1534,C,Mike Grady,Nenyaffle,40176,2,2,8,6,2,1,1,0,0,0,0,2,0,0,0,0,4,0,.453,1.000,1,0.7,0.1,0,0,0.7,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1245,C,Mike Grady,Totnes,40176,11,8,39,36,8,5,1,0,2,6,4,2,0,1,0,0,17,1,.298,.353,3,-2.6,-0.1,2,1,-2.7,-0.1,0.0,-0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,1,1,3,2,1,0,0,0,1.000,3.00,0.2,1.085,0,0,9.0,0,0,0.00,1,1,0,0,0,0,1,1,0,0,0,0.0,0.0
1147,C,Mike Grady,Mesa,40176,7,6,29,26,4,4,0,0,0,2,2,2,0,1,0,0,7,0,.204,.211,0,-4.6,-0.4,1,1,-4.7,-0.3,-0.4,-0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,1,1,3,2,0,1,1,0,.667,2.00,-0.5,.723,0,0,9.0,0,0,0.00,1,1,1,0,1,0,0,0,0,0,2,0.0,0.0
382,C,Mike Grady,Lee's Summit,40176,7,7,31,27,5,4,0,0,1,3,2,4,0,0,0,0,5,0,.272,.190,1,-2.9,-0.2,1,0,-2.9,0.3,0.1,0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2069,C,Robby Hammock,Las Vegas,39512,13,12,52,45,13,10,0,0,3,12,7,6,0,0,0,1,12,1,.365,.323,7,-0.1,-0.1,0,0,-0.2,0.0,-1.1,-1.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1118,C,Robby Hammock,Mexican,39512,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.303,.500,0,-0.2,-0.0,1,0,-0.2,0.2,0.0,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
540,C,Brandon Inge,Dukes,40079,4,4,15,14,2,1,1,0,0,2,2,1,0,0,0,0,9,0,.192,.400,0,-2.6,-0.2,1,0,-2.6,0.2,-0.3,-0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,5,1,1,2,2,0,0,0,0,1.000,2.00,0.1,1.085,0,0,9.0,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
