ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
3049,RP,Don Aase,Joy,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,5.1,23,21,7,4,1,0,2,5,5,1,0,6,0,.357,0,1,2,1,5,1.07,18,94,6,3,0,0,7.11,-0.3,-0.0,-0.1,2.92,1,5,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
2918,RP,Don Aase,Tucson,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,7.2,32,30,9,6,1,0,2,4,4,2,0,7,0,.333,0,0,0,2,7,0.95,18,129,7,7,0,0,6.27,-0.3,0.0,0.1,3.51,1,7,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,7.2,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
2434,RP,Don Aase,Nisku,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,13,0,15.1,64,57,17,12,2,0,3,6,6,6,0,18,0,.378,0,1,0,2,13,0.90,19,253,11,11,1,3,5.29,0.3,0.1,0.5,3.04,1,13,0,0,0,0,0,0,0,.000,0.00,0.3,.000,4,3,15.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.4,0.0
1331,RP,Don Aase,Pistol Pete,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.2,16,13,2,1,0,0,1,3,3,3,0,5,0,.143,0,0,0,0,3,0.77,22,66,3,3,0,0,7.20,0.2,-0.0,-0.0,3.73,1,3,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
1018,RP,Don Aase,Raleigh,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,21,0,21.2,95,80,18,13,1,0,4,14,14,15,0,24,0,.269,0,0,3,3,21,1.15,19,413,17,20,1,1,6.19,0.0,0.0,0.2,4.14,1,20,0,4,3,1,0,0,0,1.000,1.66,0.4,1.066,2,1,21.2,0,0,0.00,3,3,1,1,0,0,0,0,0,0,0,0.0,0.0
485,RP,Don Aase,Texas,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.1,16,13,4,1,0,0,3,4,4,2,0,3,1,.143,0,0,0,1,2,0.26,34,69,3,3,0,0,16.52,-0.1,-0.3,-0.1,4.66,1,2,0,1,1,0,0,0,0,1.000,2.70,0.1,1.066,0,0,3.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
24,RP,Don Aase,Cincinnati,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.1,9,8,1,0,0,0,1,1,1,1,0,0,0,.000,0,0,0,0,2,0.37,20,40,3,4,0,0,10.78,0.0,-0.1,0.1,7.60,1,2,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
9986,RP,Ted Abernathy,Broomfield,39168, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,12,0,15.1,61,55,9,7,2,0,0,4,4,6,0,13,0,.214,0,0,1,2,12,0.77,18,219,16,15,0,0,3.40,0.4,0.4,0.6,4.00,1,12,0,2,2,0,0,0,0,1.000,1.17,0.3,1.066,0,0,15.1,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.4,0.0
3262,RP,Ted Abernathy,Bryant,39168, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,6.2,30,29,11,9,1,0,1,5,5,1,0,3,0,.400,0,0,0,1,5,1.08,26,131,12,3,1,1,5.42,-0.4,0.1,0.0,5.20,1,5,0,0,0,0,0,0,0,.000,0.00,-0.2,.000,2,1,6.2,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.0,0.0
2299,RP,Ted Abernathy,New York,39168, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,4.0,14,13,1,1,0,0,0,0,0,1,0,4,0,.111,0,0,0,0,2,0.29,33,66,6,2,0,0,2.67,0.1,0.1,0.3,3.47,1,2,0,1,0,1,0,0,0,1.000,2.25,0.0,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
