ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
1453,SP,Bryan Abreu,Limoges,34527, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,11.0,55,45,16,10,4,0,2,8,8,8,0,15,1,.483,0,1,1,2,0,0.98,73,220,6,9,3,0,6.02,-0.2,0.1,0.1,3.72,1,3,3,0,0,0,0,0,0,.000,0.00,-0.8,.000,3,0,11.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
2846,SP,Adbert Alzolay,Pluto,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,12.0,45,37,7,6,1,0,0,2,2,6,0,8,0,.226,0,2,0,3,0,0.98,86,172,13,11,0,1,4.09,0.3,0.4,0.8,4.87,1,2,2,1,1,0,0,0,0,1.000,0.75,0.5,1.066,1,1,12.0,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-0.7,0.0
2786,SP,Adbert Alzolay,Cintawny,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,5,24.1,108,100,29,19,5,0,5,18,18,8,0,28,0,.358,0,0,2,2,0,1.08,81,407,16,26,0,0,5.28,-0.7,0.5,0.3,3.01,1,5,5,2,1,0,1,0,0,.500,0.37,-0.3,.000,0,0,24.1,0,0,0.00,3,1,0,0,0,0,0,0,0,0,0,-0.4,0.0
1354,SP,Adbert Alzolay,Port Orange Street,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,15.2,71,61,16,9,2,0,5,13,12,9,0,17,1,.282,0,0,0,2,0,0.95,91,274,14,13,1,1,7.82,-0.6,-0.1,0.1,3.97,1,3,3,3,1,1,1,0,0,.667,1.15,-0.5,.533,2,1,15.2,0,0,0.00,1,0,1,0,0,0,0,0,0,0,0,-0.1,0.0
677,SP,Adbert Alzolay,Twilight,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.1,18,17,9,2,4,0,3,7,7,1,0,5,0,.667,0,0,0,1,0,0.77,72,72,2,1,0,1,13.52,-0.3,-0.2,-0.2,2.71,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
229,SP,Adbert Alzolay,CT,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,23,21,7,4,1,0,2,5,5,2,0,6,0,.385,0,0,1,0,0,1.21,85,85,3,5,0,0,8.21,-0.3,-0.0,-0.1,3.15,1,1,1,1,0,1,0,0,0,1.000,1.93,-0.1,1.066,0,0,4.2,0,0,0.00,2,1,0,0,0,0,0,0,0,0,0,-0.0,0.0
1458,SP,Ian Anderson,Limoges,34493, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,4,7.0,24,20,1,0,1,0,0,1,1,4,0,7,0,.077,0,0,0,0,0,0.74,23,95,8,4,0,2,3.64,0.3,0.3,0.4,3.97,1,4,4,0,0,0,0,0,0,.000,0.00,0.4,.000,2,2,7.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
168,SP,Ian Anderson,Ropraz,34493, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,22,19,8,5,2,0,1,6,5,2,0,6,1,.583,0,0,0,0,0,0.99,97,97,3,2,2,1,6.42,-0.4,0.0,-0.2,3.15,1,1,1,0,0,0,0,0,0,.000,0.00,-0.4,.000,3,1,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3291,SP,Joaquin Andujar,Nowhere,39117, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,21,17,6,4,0,0,2,3,3,3,0,4,1,.364,0,0,0,1,0,1.29,81,81,4,3,0,0,11.42,-0.2,-0.1,0.0,4.80,1,1,1,1,1,0,0,0,0,1.000,2.25,0.1,1.066,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
2866,SP,Chris Archer,Mankato,34690, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.0,20,13,4,3,0,0,1,6,6,6,0,3,1,.333,0,0,0,0,0,1.12,88,88,3,3,0,0,13.26,-0.3,-0.1,-0.2,7.20,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
1287,SP,Aaron Ashby,Santiago,34253, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.1,58,52,12,6,3,1,2,8,8,6,0,22,0,.357,0,0,0,2,0,0.86,76,229,13,5,0,1,3.92,-0.1,0.5,0.4,2.31,1,3,3,1,0,1,0,1,0,1.000,0.63,0.4,.000,1,1,14.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2055,SP,Homer Bailey,NTT RANGER,36006, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,21,19,6,3,3,0,0,2,2,2,0,6,0,.462,0,0,0,0,0,1.12,108,108,6,1,1,0,2.54,-0.1,0.2,0.1,3.51,1,1,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
2418,SP,Tanner Banks,Aberfeldie,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,2.0,15,14,9,7,1,0,1,7,6,1,0,4,0,.889,0,0,0,0,0,1.17,53,53,1,0,0,0,7.92,-0.4,-0.0,-0.3,2.98,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
