ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
3117,SP,George Cuppy,Apopka,APO,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.0,45,44,14,8,3,0,3,9,8,1,0,13,0,.393,0,0,0,0,0,0.99,94,188,7,9,1,1,5.69,-0.2,0.2,-0.0,2.08,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3147,SP,Oscar Levis,Star City,SC,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.1,24,20,7,4,0,0,3,4,4,4,0,5,0,.333,0,0,0,0,3,0.70,31,95,2,6,0,0,13.55,0.0,-0.3,-0.1,4.76,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3068,SP,Oscar Levis,Encino,E,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.1,42,40,13,8,1,0,4,10,10,2,0,11,0,.360,0,0,1,1,0,0.96,94,188,11,5,0,0,7.95,-0.4,-0.0,-0.1,2.98,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2714,SP,Oscar Levis,Supreme,SUP,40584,6, ,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,.000,.000,0,-1.1,-0.1,0,0,-1.1,0.0,0.0,0.0,6,0,30.1,138,121,37,24,8,0,5,24,22,14,1,25,1,.348,1,1,0,2,6,0.97,90,543,27,32,2,3,5.97,-0.8,0.1,-0.1,4.49,7,2,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,3.0,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
2360,SP,Oscar Levis,Grit,Dima,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,2,13.0,55,49,14,5,5,1,3,8,8,5,0,15,0,.344,0,1,0,2,1,1.28,79,239,10,11,1,0,5.93,0.2,0.2,0.3,3.11,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2065,SP,Oscar Levis,Space,MAD,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,15.0,74,64,22,13,6,0,3,11,11,8,0,17,2,.432,0,0,0,5,0,1.09,96,289,15,8,2,0,6.42,-0.1,0.1,0.2,3.93,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970,SP,Oscar Levis,Tecmo,TEC,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,7.1,31,28,6,5,1,0,0,0,0,2,0,10,1,.333,0,0,0,0,0,0.71,109,109,1,10,0,0,2.59,0.1,0.4,0.7,1.33,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1734,SP,Oscar Levis,Pistol Pete,PP,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.0,51,46,15,12,2,0,1,9,8,3,0,10,1,.389,0,1,1,0,0,1.00,102,205,11,9,2,0,4.59,-0.4,0.3,-0.0,3.78,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1400,SP,Oscar Levis,Orlando,ORL,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,2.0,16,14,8,5,1,0,2,8,8,2,0,1,0,.545,0,0,0,0,0,0.94,50,50,2,3,0,0,19.09,-0.1,-0.2,-0.3,6.63,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1388,SP,Oscar Levis,Maplebark,MAP,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,12.2,65,57,22,13,4,0,5,13,12,7,0,10,1,.405,0,0,0,2,0,0.83,83,250,15,10,1,0,9.54,-0.6,-0.2,-0.1,4.92,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1193,SP,Oscar Levis,Hooleebob,Hoo,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.2,51,43,14,12,1,0,1,10,10,7,0,12,0,.419,0,1,1,2,0,0.97,100,201,10,8,0,0,5.03,-0.4,0.2,-0.0,4.14,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1180,SP,Oscar Levis,Burlington,BB,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,7,38.0,173,154,47,29,11,3,4,24,21,15,0,34,1,.361,0,3,1,6,0,1.03,93,651,32,41,2,1,4.93,-0.8,0.9,0.8,4.09,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1078,SP,Oscar Levis,Marengo,MAR,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,16.0,73,65,20,12,5,0,3,14,14,6,0,15,2,.362,0,0,1,1,0,1.18,87,263,12,18,1,2,6.15,-1.0,0.2,0.0,3.89,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
843,SP,Oscar Levis,Broomfield,BRO,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,16.0,75,63,16,9,5,1,1,12,10,11,0,13,0,.300,0,1,1,0,0,1.24,95,285,16,17,0,1,5.34,-0.6,0.3,0.2,5.12,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
809,SP,Oscar Levis,Twilight,TWI,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,19.0,81,69,13,10,2,0,1,3,3,8,1,18,4,.240,0,0,0,0,0,1.12,100,301,15,23,3,1,4.61,0.7,0.5,1.3,3.82,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
589,SP,Oscar Levis,Omaha,OMA,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,1.1,14,11,8,6,1,0,1,8,8,2,0,1,0,.700,0,1,0,0,0,1.00,42,42,0,3,0,0,16.84,-0.5,-0.1,-0.4,6.70,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
556,SP,Oscar Levis,Snow,SNW,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.2,25,24,4,1,3,0,0,2,2,1,0,10,0,.286,0,0,0,0,0,0.93,103,103,4,6,0,0,1.54,0.3,0.4,0.4,0.83,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3221,RP,Oscar Levis,Cepheid,CEP,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,5.1,20,19,4,4,0,0,0,1,1,0,0,10,0,.400,0,1,0,0,2,0.57,34,68,3,3,0,0,0.34,0.0,0.3,0.3,-0.43,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2145,RP,Oscar Levis,Wabana Lake,MINN,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,4.1,32,26,15,10,3,1,1,12,12,5,0,5,0,.700,1,0,1,1,5,1.06,27,135,3,4,0,0,8.24,-0.8,-0.1,-0.6,5.49,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
