ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
1558,SP,Logan Allen,Cleveland,CLE,34802, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,23,19,2,1,1,0,0,1,1,2,0,6,1,.143,0,1,0,0,0,1.26,90,90,3,7,0,0,3.53,0.2,0.2,0.3,2.97,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
3065,SP,Adbert Alzolay,Encino,E,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,24,24,8,3,2,0,3,5,5,0,0,5,0,.312,0,0,0,0,0,0.70,78,78,2,9,0,0,9.53,-0.2,-0.1,-0.0,2.30,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
2766,SP,Adbert Alzolay,Crystal Lake,CL,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,12.2,62,51,12,8,3,0,1,10,8,8,0,12,3,.289,0,0,0,2,0,1.03,78,234,14,10,3,0,5.83,-0.2,0.2,0.1,4.61,1,3,3,3,0,3,0,0,0,1.000,2.13,-0.8,.000,3,0,12.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
2440,SP,Adbert Alzolay,New York,NY,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,24,23,5,2,1,0,2,3,3,1,0,2,0,.158,0,0,0,0,0,0.92,87,87,7,8,1,1,8.26,-0.0,-0.0,0.2,5.30,1,1,1,1,1,0,0,0,0,1.000,1.50,-0.0,1.083,2,1,6.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
1812,SP,Adbert Alzolay,Everett,eVe,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,11.0,45,40,9,5,3,0,1,3,3,4,0,12,1,.296,0,0,0,2,0,0.89,88,177,9,10,1,0,4.45,0.3,0.3,0.6,3.16,1,2,2,1,1,0,0,1,0,1.000,0.82,-0.1,1.083,1,0,11.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
807,SP,Adbert Alzolay,Twilight,TWI,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,8.2,41,31,6,4,1,0,1,4,4,10,0,14,0,.312,0,0,0,2,0,1.13,93,186,6,4,1,0,5.82,-0.1,0.1,0.3,4.06,1,2,2,1,1,0,0,0,0,1.000,1.04,-0.3,1.083,1,0,8.2,0,0,0.00,1,1,1,0,0,0,0,0,0,0,0,-0.5,0.0
778,SP,Ian Anderson,Detroit,DET,34493, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,23,20,7,5,0,0,2,3,3,3,0,5,0,.385,0,0,0,1,0,0.85,98,98,1,7,0,1,9.09,-0.1,-0.1,0.1,3.94,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
2344,SP,Joaquin Andujar,Illinois,ILL,39117, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,8.1,40,32,7,4,0,0,3,5,5,8,0,7,0,.182,0,0,0,0,0,1.02,78,156,10,8,3,0,9.97,-0.2,-0.2,0.2,5.65,1,2,2,1,0,1,0,0,0,1.000,1.08,-0.9,.000,3,0,8.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
3038,SP,Chris Archer,Mankato,MKT,34690, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.2,24,22,5,1,2,0,2,5,5,2,0,10,0,.300,0,0,0,0,0,0.78,92,92,1,6,0,0,6.21,-0.3,0.1,0.0,0.66,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1337,SP,Aaron Ashby,New York,NY,34253, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,11.1,53,44,12,8,1,0,3,9,9,9,0,11,0,.300,0,0,0,2,0,1.18,69,209,12,8,2,1,7.97,-0.2,-0.1,0.1,4.88,1,3,3,2,2,0,0,1,0,1.000,1.59,-0.2,1.083,3,1,11.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.7,0.0
