ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
6132,SP,George Cuppy,Apopka,38596, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,29,28,11,8,1,0,2,7,6,0,0,1,0,.346,0,1,0,0,0,0.88,89,89,3,13,0,0,7.99,-0.3,-0.0,-0.1,5.30,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19378,SP,Oscar Levis,Crash,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,9.0,33,31,8,7,1,0,0,1,1,2,0,6,0,.320,0,0,0,4,3,0.91,40,122,11,6,0,0,3.32,0.2,0.3,0.5,4.11,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19311,SP,Oscar Levis,Florence,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,13.1,58,50,17,13,4,0,0,6,6,4,0,10,2,.405,0,2,3,4,0,0.85,104,208,13,11,1,2,3.84,-0.2,0.5,0.5,4.22,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19240,SP,Oscar Levis,Jeju,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.2,28,27,7,4,3,0,0,1,1,1,0,7,0,.350,0,0,0,1,0,1.35,106,106,5,7,0,0,2.34,0.2,0.4,0.5,2.72,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8193,SP,Oscar Levis,Seattle,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.0,42,32,10,5,2,1,2,10,10,8,0,8,0,.333,0,2,0,2,0,1.03,81,162,9,7,0,1,7.76,-0.3,-0.0,-0.1,5.34,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6181,SP,Oscar Levis,Round Rock,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,21,18,8,7,0,0,1,5,5,2,0,2,0,.438,0,1,0,0,0,0.62,94,94,6,3,0,1,7.45,-0.3,-0.0,-0.1,5.62,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5880,SP,Oscar Levis,Minneapolis,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,27,21,5,3,2,0,0,2,2,6,0,7,0,.357,0,0,1,0,0,1.07,107,107,5,4,0,0,4.65,0.1,0.2,0.3,4.79,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5805,SP,Oscar Levis,Nerd,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.0,66,59,21,16,2,1,2,12,11,5,0,19,1,.487,0,1,0,4,0,0.95,86,259,10,9,1,0,4.41,-0.6,0.4,0.0,2.77,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5766,SP,Oscar Levis,Vlad News,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,10,10,56.0,236,211,55,39,8,0,8,29,27,22,0,57,1,.318,0,2,2,4,0,0.92,94,945,55,44,2,7,5.04,-0.4,1.2,1.6,3.57,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5432,SP,Oscar Levis,Baltimore,40584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,15.0,74,64,20,11,5,0,4,13,13,10,0,16,0,.364,0,0,2,1,0,1.04,93,281,12,16,1,0,7.32,-0.5,0.0,0.0,4.38,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
