ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
705,SP,Bryan Abreu,Gotham City,34527, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,8.0,35,26,6,6,0,0,0,0,0,9,0,8,0,.333,0,0,0,3,0,1.48,80,161,7,5,1,1,5.36,0.4,0.1,0.6,5.57,1,2,2,1,0,1,0,0,0,1.000,1.12,0.1,1.106,2,1,8.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
6164,SP,Joan Adon,Round Rock,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,24,20,8,4,3,0,1,4,4,4,0,6,0,.538,0,0,0,1,0,1.25,89,89,3,3,0,1,6.77,-0.3,0.0,0.0,4.28,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,4.2,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
686,SP,Kolby Allard,Nottingham,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,21,19,5,2,2,0,1,3,3,2,0,7,0,.364,0,0,0,1,0,0.90,91,91,5,2,0,0,4.99,-0.1,0.1,0.1,2.70,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
6107,SP,Adbert Alzolay,Encino,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.0,42,33,7,3,2,0,2,7,7,9,0,11,0,.250,0,0,0,1,0,0.93,85,170,7,8,0,0,7.43,-0.3,-0.0,0.1,4.68,1,2,2,2,2,0,0,0,0,1.000,2.00,0.2,1.106,0,0,9.0,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.1,0.0
5836,SP,Adbert Alzolay,Jersey City,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.2,20,18,5,2,1,1,1,5,4,2,0,5,0,.333,0,0,0,0,0,0.67,66,66,3,3,0,0,6.44,-0.2,0.0,-0.1,3.52,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
4360,SP,Adbert Alzolay,Port Orange Street,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.0,43,37,8,3,1,0,4,8,8,5,0,17,1,.250,0,0,0,1,0,1.07,89,178,6,5,0,1,7.59,-0.5,-0.0,0.1,1.99,1,2,2,0,0,0,0,0,0,.000,0.00,0.3,.000,1,1,10.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
3304,SP,Adbert Alzolay,Soupy Swingers,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.1,44,36,5,1,1,0,3,7,6,7,0,13,1,.100,0,0,0,1,0,0.86,90,181,10,6,1,1,7.57,-0.3,-0.0,0.2,3.70,1,2,2,1,0,1,0,0,0,1.000,0.87,0.0,.000,2,1,10.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
2948,SP,Adbert Alzolay,Tatooine,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,13.1,61,52,14,11,3,0,0,12,11,7,0,18,0,.389,0,2,0,1,0,1.05,77,232,11,10,1,0,2.86,-0.6,0.6,-0.0,3.12,1,3,3,2,1,0,1,0,0,.500,0.67,-0.4,.553,1,0,13.1,0,0,0.00,1,1,0,0,1,0,0,0,0,0,0,-0.5,0.0
2757,SP,Adbert Alzolay,Los Angeles,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,19,15,3,2,0,0,1,1,1,4,0,6,0,.250,0,0,0,0,0,1.15,86,86,5,1,0,0,7.24,0.0,0.0,0.2,4.30,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
1616,SP,Adbert Alzolay,Langely Falls,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.0,45,39,12,8,1,0,3,11,10,6,0,15,0,.429,0,0,0,0,0,0.98,90,181,7,4,1,1,6.99,-0.7,0.0,-0.2,2.94,1,2,2,1,1,0,0,0,0,1.000,1.00,0.1,1.106,2,1,9.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.3,0.0
