ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
670,RP,Don Aase,Cincinnati,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.2,16,13,4,4,0,0,0,0,0,3,0,4,0,.444,0,0,2,2,3,0.38,20,61,4,1,0,0,4.25,-0.0,0.1,0.2,4.70,1,3,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
496,RP,Don Aase,Connor Joe,40506, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,3.2,21,17,7,5,2,0,0,4,4,4,0,6,0,.636,0,0,0,0,5,1.52,18,90,2,2,1,0,3.98,-0.4,0.1,-0.1,4.09,1,5,0,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0
238,RP,Joan Adon,Long Beach,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.2,14,11,3,3,0,0,0,3,3,3,0,5,0,.500,0,0,0,0,2,0.34,27,55,0,3,1,0,3.60,-0.1,0.1,-0.1,3.06,1,2,0,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
783,RP,Jorge Alcala,Charleston,34717, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,4.1,20,15,3,2,0,0,1,2,2,4,0,4,0,.182,0,1,0,0,4,1.26,22,88,1,7,0,1,7.90,-0.1,-0.1,0.1,5.00,1,4,0,1,1,0,0,0,0,1.000,2.08,0.2,.000,1,1,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
444,RP,Jorge Alcala,Besaid,34717, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,8.2,31,31,5,3,0,0,2,2,2,0,0,13,0,.188,0,0,0,0,7,0.80,16,116,4,9,0,0,3.98,0.1,0.2,0.4,-0.19,1,7,0,1,0,1,0,0,0,1.000,1.04,0.1,.000,0,0,8.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
679,RP,Logan Allen,SEOUL,34802, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,4.1,20,20,6,2,3,0,1,2,2,0,0,6,0,.385,0,0,0,0,2,0.63,38,76,3,4,0,0,4.21,-0.2,0.1,0.1,1.66,1,2,0,1,1,0,0,0,0,1.000,2.08,0.2,1.021,0,0,4.1,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-0.0,0.0
351,RP,Jose Alvarado,Saint Clair,34405, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,4.2,27,19,6,2,3,0,1,4,4,8,0,10,0,.625,0,0,0,1,6,1.09,20,120,2,1,0,0,7.62,-0.1,-0.1,-0.1,4.31,1,6,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,4.2,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
70,RP,Jose Alvarado,THE New York,34405, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.0,21,16,8,6,2,0,0,6,6,4,0,3,0,.571,0,1,0,0,3,1.11,22,66,2,4,0,0,5.98,-0.8,0.0,-0.3,6.13,1,3,0,1,1,0,0,0,0,1.000,3.00,0.6,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
329,RP,Jose Alvarez,Hanover,34029, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,9.0,36,33,8,7,1,0,0,1,1,3,0,13,0,.400,0,0,0,0,7,0.60,20,141,4,7,0,2,2.09,0.0,0.4,0.5,1.80,1,7,0,0,0,0,0,0,0,.000,0.00,0.5,.000,2,2,9.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
41,RP,Jose Alvarez,Minglewood,34029, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,1.1,16,12,8,7,0,0,1,7,7,3,0,1,1,.700,0,0,1,0,3,1.84,24,74,1,2,1,0,21.23,-1.0,-0.3,-0.6,7.37,1,2,0,0,0,0,0,0,0,.000,0.00,-0.5,.000,1,0,1.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
2763,RP,Ed Baecht,Hialeah Gardens,40483, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,2.2,20,15,6,5,0,0,1,10,9,5,0,4,0,.500,0,0,0,0,3,0.55,25,77,2,2,0,0,11.48,-0.1,-0.1,-0.6,5.91,1,2,0,1,1,0,0,0,0,1.000,3.38,0.1,1.021,0,0,2.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
760,RP,Bryan Baker,Northborough,34985, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.0,13,11,3,3,0,0,0,2,1,2,0,2,0,.333,0,0,0,0,3,1.31,19,57,2,4,0,1,4.64,0.3,0.0,0.0,5.48,1,3,0,0,0,0,0,0,0,.000,0.00,0.0,.000,1,1,3.0,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
471,RP,Bryan Baker,Langely Falls,34985, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,6.0,25,20,2,1,0,0,1,3,3,4,0,9,0,.100,0,0,0,0,6,0.81,21,127,4,5,1,0,5.14,0.0,0.1,0.1,2.80,1,6,0,0,0,0,0,0,0,.000,0.00,-0.2,.000,1,0,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
758,RP,Tanner Banks,Northborough,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,5.1,21,19,3,2,0,0,1,1,1,2,0,8,0,.200,0,0,1,0,3,0.80,24,74,4,4,0,0,4.54,-0.1,0.1,0.2,1.87,1,3,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
217,RP,Joe Barlow,Bandle City,34584, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.1,13,10,3,3,0,0,0,2,2,3,0,4,0,.500,0,0,0,0,2,0.99,30,61,0,2,0,0,4.40,-0.1,0.0,-0.0,4.11,1,2,0,1,1,0,0,0,0,1.000,3.86,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
331,RP,Scott Barlow,Hanover,34744, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,8.0,34,32,7,5,0,0,2,3,3,2,0,11,0,.263,0,0,0,0,8,1.24,16,128,5,8,1,0,5.23,0.2,0.1,0.3,1.97,1,8,0,0,0,0,0,0,0,.000,0.00,-0.2,.000,1,0,8.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
176,RP,Scott Barlow,South Side,34744, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,1.1,11,9,4,3,0,0,1,3,2,2,0,4,0,.750,0,0,0,0,2,1.77,27,54,0,0,1,0,12.23,-0.3,-0.1,-0.2,3.06,1,2,0,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,1.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
357,RP,Matt Barnes,Saint Clair,34972, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,5.2,25,20,4,2,0,0,2,4,4,5,0,8,0,.200,0,0,0,2,3,0.43,37,111,4,4,1,0,8.39,0.1,-0.1,0.0,3.78,1,3,0,1,0,1,0,0,0,1.000,1.59,-0.3,.000,1,0,5.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
115,RP,Matt Barnes,Richmond,34972, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,2.2,16,12,7,5,1,0,1,5,5,3,0,2,0,.600,0,1,1,1,3,1.63,22,66,2,2,1,1,10.73,-0.5,-0.2,-0.3,6.29,1,3,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,2,1,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
522,RP,Dave Barnhill,Winnipeg,40578, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.0,7,7,2,1,0,0,1,1,1,0,0,2,0,.250,0,0,0,1,2,1.49,16,33,2,1,0,0,8.48,0.1,-0.1,0.0,2.20,1,2,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
596,RP,Anthony Bass,Trenton,34482, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,8.2,46,40,14,8,1,1,4,12,12,6,0,9,0,.370,0,0,0,0,8,0.87,22,176,11,6,1,0,9.98,0.1,-0.3,-0.5,4.62,1,7,0,2,2,0,0,0,0,1.000,2.08,-0.2,1.021,1,0,8.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,-0.4,0.0
162,RP,Anthony Bass,South Side,34482, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.1,17,16,4,3,1,0,0,0,0,1,0,7,0,.444,0,0,0,0,3,0.99,21,63,3,2,1,1,1.44,0.1,0.2,0.3,1.26,1,3,0,0,0,0,0,0,0,.000,0.00,-0.2,.000,2,1,4.1,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,0.3,0.0
311,RP,Phil Bickford,Hanover,40714, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,9.2,45,40,10,4,2,0,4,7,6,5,0,11,0,.240,0,0,0,0,7,0.47,24,169,9,9,0,0,8.63,-0.0,-0.2,-0.0,3.72,1,7,0,2,0,1,1,0,0,.500,0.93,-0.3,.000,0,0,9.2,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
737,RP,Joe Borowski,So Cal,38928, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,6.0,27,26,8,6,0,0,2,4,4,1,0,5,0,.316,0,0,0,0,5,1.12,21,107,7,6,0,0,7.14,-0.3,-0.1,0.0,3.69,1,5,0,1,0,1,0,0,0,1.000,1.50,0.1,.000,0,0,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
509,RP,Brad Brach,Connor Joe,39409, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,3.1,17,13,3,0,1,0,2,5,5,4,0,5,0,.167,0,0,0,0,4,0.55,14,59,2,3,0,0,12.38,0.1,-0.2,-0.2,4.48,1,4,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
689,RP,Archie Bradley,SEOUL,34662, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,5.0,18,18,5,4,1,0,0,2,2,0,0,4,0,.357,0,0,1,1,4,1.05,14,59,3,6,0,0,2.38,0.2,0.2,0.1,2.50,1,4,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
219,RP,Nelson Briles,Bandle City,38888, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.1,10,10,0,0,0,0,0,0,0,0,0,4,0,.000,0,0,0,0,3,1.82,13,41,4,2,0,0,1.58,0.4,0.2,0.3,1.28,1,3,0,1,1,0,0,0,0,1.000,2.70,0.1,1.021,0,0,3.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
164,RP,JT Brubaker,South Side,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,5.0,23,19,5,5,0,0,0,1,1,4,0,5,0,.357,0,0,0,0,3,0.62,32,97,6,3,1,1,4.38,0.1,0.1,0.2,4.84,1,3,0,1,1,0,0,0,0,1.000,1.80,-0.1,1.021,2,1,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
334,RP,Aaron Bummer,Hanover,34833, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,7.1,32,28,8,4,2,1,1,4,4,3,0,7,0,.350,1,0,0,2,6,2.53,19,119,8,5,0,0,5.07,-0.1,0.1,0.2,3.91,1,6,0,1,1,0,0,0,0,1.000,1.23,0.1,1.021,0,0,7.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
535,RP,Guy Bush,Winnipeg,38822, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.0,18,17,5,4,1,0,0,2,2,1,0,6,0,.455,0,0,1,0,3,1.01,23,69,2,4,1,0,1.73,0.2,0.2,0.1,1.75,1,3,0,1,1,0,0,0,0,1.000,2.25,-0.4,1.021,1,0,4.0,0,0,0.00,1,1,1,0,0,0,0,0,0,0,0,0.1,0.0
589,RP,Matt Bush,Lancaster,40560, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,11,0,9.2,52,47,17,11,3,1,2,11,9,5,0,12,0,.455,0,0,0,0,11,1.24,19,209,5,11,1,1,5.73,-0.3,0.0,-0.4,3.65,1,11,0,0,0,0,0,0,0,.000,0.00,-0.0,.000,2,1,9.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
210,RP,Santiago Casilla,Bandle City,36112, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,1.0,15,10,8,7,1,0,0,9,9,4,1,0,0,.800,1,0,0,0,2,2.05,25,51,1,2,0,0,12.98,-0.9,-0.1,-0.8,9.38,1,2,0,1,1,0,0,0,0,1.000,9.00,0.0,1.021,0,0,1.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
2758,RP,Mike Cather,Hialeah Gardens,40383, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,4.0,16,16,5,3,1,0,1,3,3,0,0,5,0,.400,0,0,0,0,4,0.60,14,58,3,3,1,1,4.73,0.2,0.1,-0.0,1.58,1,4,0,0,0,0,0,0,0,.000,0.00,-0.3,.000,2,1,4.0,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.1,0.0
624,RP,Aroldis Chapman,Space,34934, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.1,15,13,4,2,1,0,1,2,2,2,0,5,0,.429,0,0,0,0,2,0.35,29,59,4,0,0,1,6.68,-0.2,-0.0,0.0,3.55,1,2,0,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
