ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
92,SP,Bryan Abreu,Frankfurt,34527, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,1.1,11,9,6,4,1,1,0,7,7,2,0,2,0,.857,0,0,2,1,0,1.08,45,45,1,0,0,0,5.76,-0.3,0.0,-0.3,5.36,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
386,SP,Joan Adon,Toronto,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,2.0,16,13,7,4,1,0,2,6,6,3,0,3,0,.625,0,0,0,0,0,1.27,66,66,3,0,2,0,18.76,-0.4,-0.2,-0.3,5.43,1,1,1,0,0,0,0,0,0,.000,0.00,-0.9,.000,2,0,2.0,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
766,SP,Tyler Alexander,St. Paul,34760, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,2.2,15,13,6,3,1,0,2,6,6,1,0,2,0,.400,0,1,0,0,0,0.72,37,37,3,3,0,0,13.63,-0.4,-0.1,-0.2,4.78,1,1,1,1,1,0,0,0,0,1.000,3.38,-0.3,.512,0,0,2.2,0,0,0.00,1,1,0,0,1,0,0,0,0,0,0,0.1,0.0
704,SP,Joaquin Andujar,Nowhere,39117, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,20,17,3,1,0,0,2,3,3,3,0,5,0,.100,0,0,0,1,0,0.95,86,86,7,2,0,0,9.26,-0.1,-0.1,0.1,4.48,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
742,SP,Dave Barnhill,South Evanston,40578, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,7.2,41,35,13,6,2,1,4,11,11,6,0,9,0,.409,0,0,0,1,0,0.85,78,157,9,4,0,0,11.04,-0.5,-0.2,-0.3,4.51,1,2,2,1,1,0,0,0,0,1.000,1.17,0.1,1.024,0,0,7.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
165,SP,Dave Barnhill,Sarasota,40578, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,26,24,5,2,2,0,1,3,3,2,0,8,0,.267,0,0,1,0,0,0.82,107,107,5,5,0,0,4.76,0.1,0.2,0.2,2.52,1,1,1,1,0,1,0,0,0,1.000,1.50,0.1,.000,0,0,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
577,SP,Stan Baumgartner,CA,40469, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,12.0,55,49,15,7,4,1,3,13,13,4,0,14,1,.364,0,1,0,1,0,0.89,70,212,10,11,0,0,6.43,-0.5,0.1,-0.1,3.14,1,3,3,1,0,1,0,0,0,1.000,0.75,0.2,.000,0,0,12.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
701,SP,Ronald Bolanos,Nowhere,40687, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,20,19,6,5,1,0,0,3,2,1,0,3,0,.375,0,0,0,0,0,1.04,80,80,7,2,0,0,3.51,-0.1,0.2,0.0,4.61,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
619,SP,Ken Brett,Homebody,40428, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,25,24,8,8,0,0,0,0,0,1,0,7,0,.471,0,0,0,0,0,1.43,105,105,2,7,1,0,2.20,0.3,0.3,0.5,2.03,1,1,1,0,0,0,0,0,0,.000,0.00,-0.4,.000,1,0,5.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.1,0.0
415,SP,Ken Brett,Kansas City,40428,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.4,-0.0,0,0,-0.4,0.0,0.0,0.0,1,1,7.0,26,25,6,4,1,0,1,4,3,1,0,7,0,.294,0,0,1,2,0,0.68,102,102,9,3,1,0,4.54,-0.0,0.2,0.2,3.08,1,1,1,0,0,0,0,0,0,.000,0.00,-0.2,.000,1,0,7.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
