ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
729,C,Smoky Burgess,California,40411,3,3,14,13,5,3,2,0,0,0,2,1,0,0,0,0,2,1,.417,.455,2,0.7,0.1,0,0,0.6,0.0,-0.7,-0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,3,3,42,2,40,0,1,0,1.000,13.03,0.1,.000,0,0,29.0,0,24,7.45,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
659,C,Smoky Burgess,Kamalame Cay,40411,7,4,23,19,9,4,2,1,2,8,6,4,0,0,0,0,4,1,.606,.538,9,5.5,0.6,0,0,5.3,0.0,0.6,0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,47,5,42,0,1,0,1.000,12.20,0.2,1.032,6,4,34.2,1,35,9.09,1,1,0,0,0,0,0,0,0,0,0,0.4,0.0
497,C,Smoky Burgess,Kentucky,40411,17,9,45,38,9,8,1,0,0,4,6,5,0,1,0,1,12,2,.287,.333,3,-3.9,-0.2,0,0,-4.2,0.0,0.7,0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,12,9,108,11,96,1,0,0,.991,11.65,0.9,1.032,11,7,82.2,0,41,4.46,2,2,0,0,1,1,0,0,0,0,0,-1.6,0.0
490,C,Smoky Burgess,Bethany,40411,8,4,22,17,9,4,4,0,1,3,8,5,0,0,0,0,2,0,.631,.571,9,5.8,0.5,0,0,5.7,0.0,0.3,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,41,3,38,0,1,0,1.000,10.54,0.1,.000,4,2,35.0,0,23,5.91,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0
2149,C,Victor Caratini,Grug,34061,3,3,12,11,2,1,0,0,1,1,2,0,0,1,0,0,5,0,.285,.200,0,-1.1,-0.2,1,0,-1.1,0.2,0.0,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,2,14,0,14,0,0,0,1.000,7.41,-0.1,.000,1,0,17.0,0,15,7.94,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0
782,C,John Clapp,Cincinnati,40368,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,0,-1.1,-0.1,0,0,-1.2,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,10,2,8,0,0,0,1.000,11.25,0.2,.000,1,1,8.0,0,5,5.62,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
641,C,John Clapp,Santako,40368,4,4,16,16,6,5,1,0,0,2,2,0,0,0,0,0,6,0,.356,.600,2,-0.3,-0.1,0,1,-0.4,-0.5,0.1,-0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,40,1,39,0,0,0,1.000,10.29,-0.4,.000,4,1,35.0,1,36,9.26,0,0,0,0,0,0,0,0,0,0,0,-1.2,0.0
506,C,William Contreras,Kentucky,34508,6,4,19,18,7,6,0,0,1,7,4,1,0,0,0,0,3,0,.416,.429,3,0.9,0.1,0,0,0.7,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,43,0,43,0,1,0,1.000,11.27,-0.2,.000,0,0,34.1,1,9,2.36,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
91,C,Willson Contreras,Krikkit,34338,10,9,41,34,9,4,3,0,2,6,6,5,0,0,0,2,14,0,.352,.350,5,-0.8,-0.1,0,0,-1.1,0.0,0.4,0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,10,9,100,3,96,1,0,0,.990,10.87,-0.2,1.032,3,0,82.0,1,69,7.57,0,0,2,2,1,1,0,0,0,0,0,-3.0,0.0
432,C,Travis d'Arnaud,Sunset Beach,34516,2,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,.450,.667,0,0.3,0.0,0,0,0.3,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,6,2,4,0,0,0,1.000,6.75,0.2,.000,1,1,8.0,0,4,4.50,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
