ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
8,C,Joey Bart,Doosan,DOO,34015,5,5,20,19,6,2,2,0,2,4,4,0,0,1,0,0,5,1,.423,.333,4,1.0,0.1,0,0,1.0,0.0,-0.2,-0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,30,0,30,0,0,0,1.000,7.94,-0.1,.000,0,0,34.0,1,29,7.68,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
48,C,Smoky Burgess,RoseTown,ROS,40411,15,14,55,51,18,9,6,0,3,12,13,4,0,0,0,0,12,1,.428,.417,11,3.0,0.4,0,0,3.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,13,12,125,12,113,0,2,0,1.000,10.10,0.6,1.044,10,6,111.1,2,51,4.12,0,0,0,0,1,1,0,0,0,0,0,-0.3,0.0
571,C,Travis d'Arnaud,Nottingham,NOT,34516,2,1,5,4,0,0,0,0,0,0,1,1,1,0,0,0,1,2,.000,.000,-1,-1.9,-0.1,0,0,-1.9,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,9,1,8,0,0,0,1.000,9.00,0.2,.000,1,1,9.0,0,6,6.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
335,C,Elias Diaz,Busan,BUS,34133,4,4,19,15,5,3,1,0,1,2,1,4,0,0,0,0,4,0,.456,.400,4,1.6,0.2,0,0,1.6,0.0,0.1,0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,47,2,45,0,1,0,1.000,11.13,0.0,.000,4,2,38.0,1,26,6.16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
293,C,Jesse Gonder,Mansfield,MAN,35149,1,1,5,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,.390,.250,0,0.1,0.0,0,0,0.1,0.0,0.0,0.0,1,0,0.1,5,3,2,0,0,0,2,4,4,2,0,0,0,.000,0,0,0,0,1,0.08,20,20,1,0,0,0,99.20,0.0,-0.2,-0.2,10.20,2,1,1,13,0,13,0,0,0,1.000,13.00,-0.1,.000,1,0,9.0,0,1,1.00,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
160,C,Mike Grady,Memphis,MEM,40176,5,5,20,19,5,4,1,0,0,2,1,1,0,0,0,0,6,0,.279,.385,1,-2.0,-0.2,0,1,-2.0,-0.5,-1.2,-1.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,40,4,36,0,0,0,1.000,10.91,-0.1,.000,0,0,33.0,1,32,8.73,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0
769,C,Kyle Higashioka,St. Paul,SP,34935,3,2,7,4,2,1,0,0,1,1,3,2,0,1,0,0,1,0,.704,.500,3,2.4,0.2,0,0,2.4,0.0,-0.4,-0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,3,2,21,2,19,0,0,0,1.000,10.50,0.1,.000,2,1,18.0,0,10,5.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
486,C,Kyle Higashioka,West End,WE,34935,13,13,53,45,9,3,4,0,2,7,9,7,0,1,0,0,15,1,.321,.250,5,-2.9,-0.0,0,0,-3.0,0.0,0.4,0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,13,13,126,9,117,0,0,0,1.000,9.72,0.1,.000,12,4,116.2,1,80,6.17,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
445,C,Kyle Higashioka,PJCbal,PJC,34935,4,3,12,10,1,0,0,0,1,2,1,1,0,1,0,0,5,0,.272,.000,0,-1.3,-0.0,0,0,-1.3,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,3,34,2,32,0,1,0,1.000,11.33,0.0,1.044,1,0,27.0,0,15,5.00,1,1,0,0,0,0,0,0,0,0,0,0.5,0.0
165,C,Kyle Higashioka,Memphis,MEM,34935,5,3,11,10,0,0,0,0,0,0,1,1,0,0,0,0,6,1,.069,.000,-1,-3.5,-0.2,0,0,-3.5,0.0,0.7,0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,5,3,39,1,38,0,1,0,1.000,12.54,0.1,1.044,0,0,28.0,0,18,5.79,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
