ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
698,SP,Adbert Alzolay,Twilight,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,21,19,6,4,0,0,2,3,3,2,0,6,0,.364,0,0,0,0,0,0.71,85,85,4,3,0,1,8.24,-0.1,-0.0,0.1,3.05,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
538,SP,Adbert Alzolay,Chicago,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,20,19,5,3,1,0,1,4,1,1,0,6,0,.333,0,0,0,0,0,1.16,78,78,5,3,0,0,4.88,-0.2,0.1,-0.0,2.47,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
568,SP,Ian Anderson,Sunset Beach,34493, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.1,51,44,16,9,2,0,5,9,9,7,0,14,0,.440,0,0,0,3,0,1.10,92,185,8,6,0,0,9.57,-0.5,-0.2,0.0,3.65,1,2,2,0,0,0,0,0,0,.000,0.00,0.2,.000,0,0,10.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0
279,SP,Ian Anderson,Laketown,34493, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,16.1,79,67,22,14,5,0,3,10,9,9,0,18,1,.396,0,2,1,3,0,1.18,97,292,16,12,0,0,5.98,-0.2,0.2,0.4,3.98,1,3,3,2,2,0,0,0,0,1.000,1.10,0.2,1.034,0,0,16.1,0,0,0.00,2,2,1,0,0,0,0,0,0,0,0,-0.1,0.0
264,SP,Tyler Anderson,Laketown,34078, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,18.1,80,72,20,14,2,1,3,12,11,7,0,19,1,.340,0,0,1,2,0,1.03,103,310,12,20,1,0,5.32,0.1,0.4,0.3,3.47,1,3,3,2,0,1,1,0,0,.500,0.49,-0.7,.000,1,0,18.1,0,0,0.00,1,0,1,0,0,0,0,0,0,0,0,-0.1,0.0
6,SP,Joaquin Andujar,Nowhere,39117, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,11.2,60,50,16,6,7,0,3,9,8,9,0,9,1,.342,0,0,0,2,0,0.98,81,244,11,12,0,1,8.33,-0.4,-0.1,0.1,5.50,1,3,3,0,0,0,0,0,0,.000,0.00,0.3,.000,1,1,11.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0
426,SP,Homer Bailey,NTT RANGER,36006, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.1,25,24,8,3,3,0,2,2,2,1,0,3,0,.316,0,0,0,2,0,1.21,93,93,7,6,0,0,7.59,0.2,0.0,0.3,4.65,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,6.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
75,SP,Floyd Bannister,Boston,39062, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.1,29,28,8,5,3,0,0,4,3,1,0,10,0,.444,0,0,0,0,0,0.84,106,106,4,5,0,0,1.27,0.1,0.4,0.1,1.53,1,1,1,1,0,1,0,0,0,1.000,1.42,-0.1,.000,0,0,6.1,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
674,SP,Dave Barnhill,Helena,40578, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,28,25,10,3,3,0,4,5,5,3,0,5,0,.375,0,0,0,0,0,0.97,105,105,3,7,0,1,13.52,-0.1,-0.2,-0.0,4.53,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
607,SP,Dave Barnhill,Dynamic,40578, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,21.1,89,83,20,13,2,0,5,11,11,4,0,26,1,.288,1,0,0,1,0,0.90,106,318,19,19,0,0,5.27,-0.1,0.5,0.7,2.35,1,3,3,0,0,0,0,0,0,.000,0.00,0.3,.000,0,0,21.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-1.1,0.0
