ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
457,SP,Adbert Alzolay,Eden Prairie,EP,40619, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,23,21,6,4,2,0,0,1,1,2,0,8,0,.462,0,0,1,1,0,1.03,95,95,4,3,1,0,1.96,0.1,0.3,0.3,2.22,1,1,1,0,0,0,0,0,0,.000,0.00,-0.4,.000,1,0,5.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
647,SP,Dave Barnhill,Quebec,QCZ,40578, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,7.0,27,23,6,5,1,0,0,1,1,4,0,6,0,.353,0,0,0,2,0,1.09,103,103,4,7,0,1,3.83,0.2,0.2,0.5,4.40,1,1,1,1,1,0,0,0,0,1.000,1.29,0.3,1.027,1,1,7.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
368,SP,Gene Bearden,Washington,WAS,40467, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,11.1,53,45,12,9,0,1,2,10,10,8,0,11,0,.312,0,0,1,1,0,0.90,96,193,9,13,2,0,6.31,-0.3,0.1,-0.1,4.68,1,2,2,0,0,0,0,0,0,.000,0.00,-0.5,.000,2,0,11.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
293,SP,Ty Blach,San Francisco,SF,40732, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,11.2,52,46,14,10,3,0,1,7,6,5,0,2,1,.302,0,0,1,2,0,1.17,86,173,14,15,0,1,6.15,-0.1,0.1,0.2,6.64,1,2,2,3,3,0,0,0,0,1.000,2.31,0.3,1.027,1,1,11.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
792,SP,Ken Brett,Homebody,HOM,40428, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,19.1,82,76,19,12,2,0,5,10,9,5,0,18,0,.259,0,1,0,1,0,0.86,108,326,17,22,1,0,6.11,-0.1,0.1,0.5,3.45,1,3,3,2,1,1,0,1,0,1.000,0.93,-0.1,1.027,1,0,19.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
126,SP,Ken Brett,Letterkenny,LET,40428, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,28,25,6,5,0,0,1,3,2,3,0,4,0,.250,0,0,0,0,0,1.21,106,106,8,6,0,0,6.17,-0.0,0.0,0.2,5.06,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
752,SP,Aaron Brooks,Town of Lake,TO,40740, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,7.1,30,29,7,2,2,0,3,8,8,1,0,2,0,.167,0,0,0,0,0,1.20,89,89,9,11,0,0,9.02,-0.7,-0.1,-0.1,5.49,1,1,1,1,1,0,0,0,0,1.000,1.23,0.1,1.027,0,0,7.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.0,0.0
458,SP,Kris Bubic,Eden Prairie,EP,34734, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,21,18,5,3,2,0,0,6,1,2,0,3,1,.333,0,0,1,1,0,1.03,75,75,5,3,0,0,4.58,-0.4,0.1,-0.2,4.94,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
765,SP,Larry Christenson,Hingham,HIN,38719, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,7.0,32,29,10,7,1,0,2,3,3,3,0,5,0,.364,0,0,0,1,0,0.80,110,110,7,7,1,0,7.41,-0.0,-0.0,0.2,4.75,1,1,1,1,1,0,0,0,0,1.000,1.29,-0.2,1.027,1,0,7.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
733,SP,Larry Christenson,Town of Lake,TO,38719, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.1,26,24,7,7,0,0,0,1,1,1,0,8,1,.438,0,0,0,2,0,0.81,112,112,4,5,0,0,2.26,0.2,0.3,0.4,2.03,1,1,1,2,1,1,0,0,0,1.000,2.84,0.1,1.027,0,0,6.1,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.1,0.0
