ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
406,RP,Albert Abreu,Dark Web,34556, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,5.0,37,23,9,7,0,0,2,13,13,14,0,7,0,.500,0,0,0,1,7,0.96,3,4,0,0,14.02,0.1,-0.4,-0.8,7.58,1,7,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,5.0,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0
126,RP,Austin Adams,CG,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,0.2,4,4,1,1,0,0,0,0,0,0,0,0,0,.250,0,0,0,0,1,0.65,0,2,0,0,3.20,0.0,0.0,0.0,5.41,1,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
205,RP,Kolby Allard,Brooklyn,39418, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.1,20,18,5,4,1,0,0,2,2,2,0,5,0,.385,0,0,1,0,3,1.28,5,3,0,0,2.30,0.2,0.2,0.1,3.60,1,3,0,1,0,1,0,0,0,1.000,2.08,0.1,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
299,RP,Doug Bair,Tokyo,39077, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,1.0,8,6,3,1,0,0,2,2,2,2,0,1,0,.333,0,0,0,0,1,0.28,2,0,0,0,33.22,-0.1,-0.2,-0.1,6.94,1,1,0,1,1,0,0,0,0,1.000,9.00,0.0,1.006,0,0,1.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
179,RP,Doug Bair,Providence,39077, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.0,14,13,4,3,1,0,0,1,1,1,0,3,0,.400,0,0,0,0,3,0.85,2,4,0,0,2.22,0.0,0.1,0.1,3.55,1,3,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40,RP,Tanner Banks,Huntsville,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.0,19,15,6,5,0,0,1,4,4,3,0,5,0,.556,1,0,0,1,3,0.85,4,1,0,0,6.22,-0.5,-0.0,-0.1,4.17,1,3,0,3,3,0,0,0,0,1.000,6.75,0.1,1.006,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
238,RP,Stan Belinda,Low Country,39024, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.0,19,17,5,4,0,0,1,4,4,2,0,5,0,.364,0,0,0,0,3,0.86,1,6,0,0,5.47,-0.1,-0.0,-0.1,2.88,1,3,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
134,RP,Andrew Bellatti,Berlin,40746, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.0,12,10,3,1,2,0,0,1,1,1,1,1,0,.300,0,1,0,1,2,0.61,3,4,0,0,2.55,-0.0,0.1,0.1,5.81,1,2,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
198,RP,Ty Blach,Brooklyn,40732, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,4.2,17,17,5,3,2,0,0,1,1,0,0,4,0,.385,0,0,0,2,2,1.06,2,6,0,0,1.50,0.2,0.2,0.2,2.08,1,2,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
234,RP,Ronel Blanco,Low Country,40806, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,5.0,21,19,4,1,1,0,2,3,3,2,0,8,0,.222,0,0,0,0,4,0.45,4,3,0,0,6.42,0.2,-0.1,0.0,1.96,1,4,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
