ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
77,SP,Joan Adon,Detroit,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.2,70,61,21,12,3,0,6,13,13,8,0,14,1,.366,0,0,0,2,0,0.87,13,12,1,1,8.47,-0.6,-0.3,-0.1,4.36,1,3,3,0,0,0,0,0,0,.000,0.00,-0.3,.000,2,1,14.2,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.4,0.0
254,SP,Kolby Allard,Low Country,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,13.0,49,47,11,7,3,0,1,4,4,1,0,18,1,.357,0,0,0,0,0,0.86,12,6,0,1,1.91,0.6,0.7,0.6,1.49,1,2,2,3,1,2,0,0,0,1.000,2.08,0.3,1.006,1,1,13.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.9,0.0
214,SP,Kolby Allard,Oceanside,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,15.2,72,66,18,12,3,0,3,7,6,5,0,16,1,.319,0,0,0,0,0,1.08,17,13,1,1,4.81,0.1,0.3,0.5,3.56,1,3,3,5,3,1,1,0,0,.800,2.30,-0.5,.671,2,1,15.2,0,0,0.00,4,3,0,0,0,0,0,0,0,0,0,0.1,0.0
102,SP,Kolby Allard,Detroit,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,4,21.2,97,84,24,17,3,1,3,15,15,12,0,20,1,.344,0,0,0,4,0,1.11,19,20,1,1,4.97,-0.4,0.3,0.2,4.39,1,4,4,2,2,0,0,0,0,1.000,0.83,-0.2,1.006,2,1,21.2,0,0,0.00,2,1,0,0,0,0,0,0,0,0,0,-0.5,0.0
338,SP,Chris Archer,Mississauga,34690, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,19,14,3,2,0,0,1,3,3,4,0,7,1,.333,0,0,0,0,0,0.93,1,3,1,1,6.72,-0.2,-0.0,0.0,3.18,1,1,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,2,1,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
16,SP,Tanner Banks,West Virginia,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,7.2,34,29,10,7,0,0,3,4,4,5,0,5,0,.333,0,0,0,0,0,0.94,4,10,0,3,8.96,-0.1,-0.2,0.2,5.49,1,2,2,2,1,1,0,0,0,1.000,2.35,0.3,.000,3,3,7.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
316,SP,Walter Beall,Vegas,40468, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,7.0,29,26,5,3,2,0,0,1,1,3,0,10,0,.312,0,0,0,0,0,1.19,5,6,1,0,1.65,0.3,0.4,0.5,2.33,1,1,1,1,1,0,0,0,0,1.000,1.29,-0.3,1.006,1,0,7.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
358,SP,Ralph Birkofer,Mississauga,40452, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,21,17,5,1,3,0,1,7,7,3,0,8,1,.500,0,0,0,0,0,1.10,1,3,0,0,5.47,-0.5,0.0,-0.3,2.24,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
307,SP,Ralph Birkofer,Tokyo,40452, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.1,16,13,4,2,1,0,1,6,6,3,0,5,0,.429,0,0,0,1,0,1.39,2,2,0,0,6.82,-0.4,-0.0,-0.2,3.73,1,1,1,1,0,1,0,0,0,1.000,2.70,0.1,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
227,SP,Ryan Borucki,Oceanside,34862, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,4,12.2,56,50,16,5,2,1,8,15,15,6,0,15,0,.296,0,0,0,2,0,0.76,11,8,0,1,10.48,-0.9,-0.5,-0.4,3.40,1,4,4,2,1,1,0,0,0,1.000,1.42,0.3,1.006,1,1,12.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
