ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
6269,1B,Dave Altizer,Paris,40492,16,16,83,75,30,24,4,2,0,7,19,8,0,0,0,0,17,0,.428,.517,17,5.0,0.4,10,6,4.6,-1.0,0.1,-0.9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5536,1B,Dave Altizer,Gun Barrel City,40492,11,11,57,52,11,8,1,0,2,6,7,5,0,0,0,0,13,2,.276,.243,3,-5.2,-0.3,0,0,-5.4,0.0,-0.1,-0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5032,1B,Dave Altizer,Waterloo,40492,5,5,25,20,10,8,0,0,2,3,4,5,0,0,0,0,1,0,.582,.471,9,5.3,0.2,1,3,5.2,-1.4,-1.0,-2.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2419,1B,Hi Myers,AllNY,37276,10,10,52,48,16,13,2,0,1,9,10,3,0,1,0,0,6,2,.365,.366,8,-0.1,-0.1,0,1,-0.4,-0.4,-0.9,-1.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,8,1,1,1,0,1,0,0,0,1.000,1.00,-0.3,1.041,0,0,9.0,0,0,0.00,1,1,1,0,0,0,1,0,0,0,0,0.0,-0.9
1159,1B,Hi Myers,Feekachang,37276,3,1,5,4,1,1,0,0,0,2,1,0,0,1,0,0,2,1,.336,.500,0,-0.2,-0.0,0,0,-0.2,0.0,-0.5,-0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,8,2,1,2,0,2,0,0,0,1.000,2.35,0.0,1.041,0,0,7.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,0.0,-0.1
12474,1B,Joe Pepitone,BF,37126,6,6,28,23,5,3,0,0,2,7,6,3,0,0,0,2,6,0,.304,.176,2,-1.8,-0.0,1,0,-1.9,0.3,0.4,0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6505,1B,Joe Pepitone,Dallas,37126,19,12,72,64,19,14,2,0,3,13,8,5,0,0,0,3,13,2,.336,.314,9,-2.3,-0.1,0,0,-2.6,0.0,-0.4,-0.4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,8,4,2,7,0,7,0,0,0,1.000,2.74,0.2,1.041,0,0,23.0,0,0,0.00,6,6,1,1,0,0,0,0,0,0,1,0.0,0.3
6209,1B,Joe Pepitone,Iron,37126,15,13,51,48,11,4,2,0,5,10,8,1,0,1,0,1,12,4,.323,.188,5,-2.3,-0.0,0,0,-2.5,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,8,5,5,13,2,11,0,0,0,1.000,2.72,-0.2,1.041,0,0,43.0,0,0,0.00,10,10,1,1,3,0,0,0,1,0,2,0.0,0.9
6013,1B,Joe Pepitone,Lafayette,37126,7,7,32,31,7,3,2,0,2,3,5,1,0,0,0,0,6,3,.295,.217,2,-2.3,-0.1,0,0,-2.4,0.0,0.6,0.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5969,1B,Joe Pepitone,Nerd,37126,5,5,24,20,5,0,2,0,3,9,3,3,0,0,0,1,4,1,.417,.143,4,1.2,0.2,0,0,1.1,0.0,0.1,0.1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5443,1B,Joe Pepitone,Tucson,37126,23,23,110,100,26,19,1,0,6,16,13,9,0,1,0,0,18,2,.333,.263,13,-3.8,-0.2,1,3,-4.3,-1.2,-0.4,-1.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5256,1B,Joe Pepitone,Generic,37126,4,2,11,10,4,1,1,0,2,6,4,1,0,0,0,0,1,2,.584,.286,4,2.4,0.2,0,0,2.3,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4922,1B,Joe Pepitone,Terrordome,37126,7,7,30,28,6,5,0,0,1,4,3,2,0,0,0,0,5,2,.260,.227,1,-3.2,-0.2,0,0,-3.3,0.0,0.3,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4817,1B,Joe Pepitone,New York,37126,7,7,31,29,7,5,1,0,1,5,1,1,0,0,0,1,10,2,.267,.316,1,-3.1,-0.2,0,1,-3.2,-0.5,0.1,-0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,0,0,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,0.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
