ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
19186,RP,Domingo Acevedo,Irving,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.2,19,15,5,2,1,0,2,4,4,4,0,5,0,.375,0,0,0,0,2,0.77,33,67,1,4,1,0,11.36,0.0,-0.2,-0.1,4.49,1,2,0,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
5070,RP,Domingo Acevedo,Tavistock,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,7.2,39,34,11,6,1,0,4,9,9,4,0,8,1,.318,0,0,0,0,5,1.49,30,154,9,6,1,0,10.38,0.2,-0.3,-0.3,4.17,1,5,0,3,1,2,0,0,0,1.000,3.52,-0.2,1.080,1,0,7.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.3,0.0
4256,RP,Domingo Acevedo,Norwood,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,7.1,30,27,6,4,0,0,2,5,5,3,0,6,0,.211,0,0,0,1,5,0.70,22,113,10,4,1,1,6.86,-0.3,-0.0,0.1,4.39,1,4,0,1,1,0,0,0,0,1.000,1.23,-0.1,1.080,2,1,7.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
3943,RP,Domingo Acevedo,Verona,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,1.0,11,10,7,4,1,1,1,6,6,1,0,1,0,.750,0,0,1,0,2,1.15,20,41,1,1,0,0,17.72,-0.8,-0.1,-0.4,5.70,1,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2340,RP,Domingo Acevedo,QUC,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,6.0,29,24,8,4,1,0,3,6,6,3,0,8,1,.357,0,1,0,1,4,0.66,26,104,7,2,0,0,9.56,0.1,-0.2,-0.1,3.49,1,4,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
345,RP,Domingo Acevedo,Rocky Top,34638, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.1,12,9,3,2,1,0,0,1,1,2,0,3,0,.429,0,1,0,0,2,0.14,25,50,2,2,0,0,3.72,-0.0,0.1,0.1,4.28,1,2,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,2.1,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,0.3,0.0
6532,RP,Jason Adam,Elizabeth,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,2.2,15,11,3,0,2,0,1,5,5,4,1,7,0,.667,0,0,0,0,3,0.55,20,62,1,0,0,0,6.72,0.1,-0.0,-0.2,3.06,1,3,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6139,RP,Jason Adam,SeldomSeen,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,7.0,31,26,6,2,3,0,1,3,3,5,1,7,0,.278,0,0,0,0,6,0.92,21,129,6,7,0,0,5.30,0.0,0.1,0.2,4.55,1,6,0,1,0,1,0,0,0,1.000,1.29,0.1,.000,0,0,7.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
6122,RP,Jason Adam,Tucson,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,6.2,27,23,5,2,0,0,3,6,6,4,0,13,0,.286,0,0,0,1,7,0.72,17,124,3,2,0,1,7.47,-0.1,-0.1,-0.1,1.53,1,7,0,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,6.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
5941,RP,Jason Adam,Oxnard,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.2,17,13,3,2,0,1,0,1,1,3,0,3,0,.273,0,1,1,0,3,0.56,21,65,5,2,0,1,4.54,-0.0,0.1,0.1,5.44,1,3,0,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
