ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
731,SP,Austin Adams,Campbelltown,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.1,16,15,7,3,0,0,4,8,8,1,0,3,0,.375,0,0,0,0,2,0.69,27,54,2,2,0,0,24.88,-0.4,-0.4,-0.4,3.94,1,2,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
397,SP,Joan Adon,Toronto,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.2,23,19,10,7,2,0,1,6,6,4,0,4,0,.643,0,0,1,1,0,0.97,92,92,4,1,0,1,8.52,-0.4,-0.0,-0.2,5.39,1,1,1,0,0,0,0,0,0,.000,0.00,-0.2,.000,1,1,3.2,0,0,0.00,1,0,1,0,0,0,0,0,0,0,0,-0.4,0.0
172,SP,Tyler Alexander,Phoenix,34760, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.1,50,47,17,8,4,0,5,8,8,2,0,7,1,.343,0,0,0,1,0,1.04,80,160,11,12,1,0,9.69,-0.5,-0.2,0.1,4.38,1,2,2,0,0,0,0,0,0,.000,0.00,-0.2,.000,1,0,10.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
567,SP,Kolby Allard,Tijuana,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,7.2,40,36,13,7,2,0,4,11,6,3,0,6,0,.333,0,1,0,0,0,1.04,79,159,7,10,0,0,10.28,-0.5,-0.2,-0.3,4.64,1,2,2,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,7.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
101,SP,Kolby Allard,Rocky Top,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,14.2,56,54,13,9,2,0,2,6,6,2,0,10,0,.262,0,0,1,3,0,0.81,94,188,14,17,2,0,4.70,0.1,0.4,0.6,3.76,1,2,2,1,1,0,0,0,0,1.000,0.61,-0.5,1.023,2,0,14.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.3,0.0
18,SP,Kolby Allard,Springfield,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,23,19,6,4,1,0,1,4,2,4,0,7,0,.455,0,0,0,1,0,1.11,94,94,1,4,0,2,6.08,-0.3,0.1,0.0,3.52,1,1,1,0,0,0,0,0,0,.000,0.00,0.3,.000,2,2,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
6,SP,Joaquin Andujar,Springfield,39117, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,22,20,5,2,3,0,0,1,1,2,0,3,0,.294,0,0,0,1,0,0.95,81,81,8,4,0,0,3.88,0.2,0.2,0.3,5.06,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
763,SP,Chris Archer,Quito,34690, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,24,18,3,0,1,1,1,4,1,6,0,6,0,.182,0,0,2,1,0,1.15,94,94,4,4,0,0,7.68,-0.3,-0.0,0.0,5.24,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
306,SP,Chris Archer,Round Rock,34690, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,5,28.2,123,109,28,19,5,0,4,10,10,12,0,30,2,.320,0,0,0,3,0,1.04,97,485,20,31,2,2,5.07,0.0,0.6,1.3,3.51,1,5,5,1,0,1,0,0,0,1.000,0.31,-0.4,.000,4,2,28.2,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,0.1,0.0
720,SP,Shawn Armstrong,Campbelltown,40654, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,1.0,5,4,1,0,1,0,0,0,0,1,0,1,0,.333,0,0,0,0,0,1.08,18,18,2,0,0,0,4.88,0.0,0.0,0.1,6.06,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
