ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
15,RP,Jason Adam,San Antonio,34889, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,2.0,15,10,3,2,0,0,1,1,1,5,0,4,0,.400,0,0,0,0,4,1.33,16,65,2,0,1,0,14.09,-0.3,-0.2,0.1,5.97,1,4,0,0,0,0,0,0,0,.000,0.00,-0.4,.000,1,0,2.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
734,RP,Austin Adams,Home,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,11,0,11.2,51,44,10,6,2,0,2,5,5,6,0,22,1,.400,0,0,0,1,11,0.81,18,207,4,8,0,0,4.35,0.2,0.2,0.3,1.40,1,11,0,0,0,0,0,0,0,.000,0.00,0.2,.000,0,0,11.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
626,RP,Austin Adams,Glen Iris,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,5.1,23,18,2,0,1,0,1,3,3,5,0,4,0,.077,0,0,0,0,6,1.68,16,101,7,5,0,0,7.84,0.1,-0.1,0.1,5.85,1,6,0,1,0,1,0,0,0,1.000,1.69,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
570,RP,Austin Adams,Oshawa,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,1.2,12,9,4,3,1,0,0,3,3,3,0,2,0,.571,0,0,0,0,2,1.44,22,45,2,1,0,0,7.09,-0.3,-0.0,-0.2,6.31,1,2,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
500,RP,Austin Adams,Doha,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,0,7.2,33,28,7,3,2,0,2,4,4,4,1,10,0,.312,1,0,0,1,7,1.59,18,128,3,9,0,0,6.05,0.5,0.1,0.2,2.76,1,7,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,7.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
478,RP,Austin Adams,Mucha Fat Otaku,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.0,17,14,5,2,1,0,2,7,7,3,0,3,0,.333,0,0,1,0,3,0.55,24,72,3,3,1,0,13.76,0.0,-0.2,-0.3,5.40,1,3,0,0,0,0,0,0,0,.000,0.00,-0.4,.000,1,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
109,RP,Austin Adams,Wokingham,34057, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,1.2,9,6,2,2,0,0,0,1,1,3,0,2,0,.500,0,0,0,0,2,2.53,22,44,2,0,1,0,7.09,-0.1,-0.0,0.0,6.59,1,2,0,2,2,0,0,0,0,1.000,10.80,-0.3,1.017,1,0,1.2,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,-0.1,0.0
639,RP,Joan Adon,Glen Iris,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,7.1,39,34,14,9,1,0,4,9,6,2,0,7,1,.435,2,0,0,1,6,1.40,22,132,9,5,0,0,10.50,-0.6,-0.3,-0.3,3.97,1,6,0,3,3,0,0,0,0,1.000,3.68,0.6,1.525,0,0,7.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
327,RP,Kolby Allard,Middle West,39418, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,3.1,13,10,1,1,0,0,0,0,0,3,0,3,0,.143,0,0,0,1,2,0.60,34,69,3,3,1,0,4.99,-0.1,0.1,0.2,5.27,1,2,0,0,0,0,0,0,0,.000,0.00,-0.4,.000,1,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
468,RP,Chris Archer,Mucha Fat Otaku,34690, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.0,15,13,4,2,0,0,2,3,3,1,0,8,1,.667,0,0,0,0,3,1.19,19,59,0,1,0,0,9.42,-0.3,-0.1,-0.1,-0.22,1,3,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
536,RP,Shawn Armstrong,Chicago,40654, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.1,12,10,3,2,0,0,1,3,3,2,0,2,0,.286,0,0,0,0,2,0.20,24,49,1,4,0,0,10.52,-0.0,-0.1,-0.1,5.27,1,2,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
328,RP,Doug Bair,Middle West,39077, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,1.2,10,10,5,1,1,0,3,4,4,0,0,4,0,.667,0,0,1,0,4,1.19,11,44,0,1,0,0,22.69,-0.4,-0.3,-0.2,0.29,1,4,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
774,RP,Tanner Banks,Portland,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,10,0,13.0,62,54,16,11,2,0,3,6,6,7,0,20,1,.419,0,0,0,0,10,0.56,22,227,14,4,0,0,5.86,-0.0,0.1,0.3,3.06,1,9,0,0,0,0,0,0,0,.000,0.00,0.2,.000,0,0,13.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
714,RP,Tanner Banks,Modesto,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,0,5.2,26,20,4,3,0,0,1,4,4,6,0,7,0,.250,0,0,0,1,6,0.76,19,117,4,5,0,0,7.09,0.2,-0.0,0.0,4.77,1,6,0,2,1,1,0,0,0,1.000,3.18,0.1,1.017,0,0,5.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
649,RP,Tanner Banks,Arlington,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,5,0,7.1,29,27,6,4,2,0,0,2,2,2,0,8,0,.316,0,0,1,1,5,0.31,22,113,3,10,0,0,2.73,0.0,0.3,0.3,2.30,1,5,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,7.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0
