ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
690,C,Austin Allen,Rockso,34637,3,1,6,6,2,1,0,0,1,2,1,0,0,0,0,0,2,1,.463,.333,1,0.6,0.0,0,0,0.5,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,3,0,3,0,0,0,1.000,3.38,0.0,.000,0,0,8.0,0,9,10.12,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
198,C,Joe Azcue,London,40485,5,4,20,15,4,1,0,0,3,6,5,5,1,0,0,0,4,0,.475,.125,5,2.1,0.3,0,0,2.1,0.0,-0.3,-0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,3,3,34,3,31,0,1,0,1.000,11.33,0.2,1.010,0,0,27.0,0,10,3.33,1,1,0,0,1,1,0,0,0,0,0,0.3,0.0
485,C,Austin Barnes,Brooklyn,34095,12,10,47,37,6,4,0,0,2,4,9,10,0,0,0,0,17,0,.317,.222,4,-2.0,0.0,0,0,-2.1,0.0,-0.0,-0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,2,24,2,22,0,0,0,1.000,12.00,0.2,.000,1,1,18.0,0,2,1.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
282,C,Austin Barnes,Southern,34095,4,4,13,11,0,0,0,0,0,0,1,2,0,0,0,0,5,0,.115,.000,-1,-3.0,-0.2,0,0,-3.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,48,1,47,0,0,0,1.000,12.71,-0.0,.000,1,0,34.0,0,17,4.50,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
136,C,Austin Barnes,Rainier,34095,3,1,8,7,2,1,0,0,1,2,2,1,0,0,0,0,1,0,.441,.200,1,0.6,0.1,0,0,0.6,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,7,1,6,0,0,0,1.000,7.00,0.0,.000,0,0,9.0,0,9,9.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
727,C,Anthony Bemboom,Langely Falls,40572,6,6,21,19,3,2,1,0,0,1,1,2,0,0,0,0,8,0,.218,.273,0,-2.8,-0.2,0,0,-2.9,0.0,0.3,0.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,6,6,72,5,66,1,2,0,.986,11.62,-0.1,1.010,5,1,55.0,0,22,3.60,0,0,0,0,1,1,0,0,0,0,0,-0.5,0.0
798,C,Cam Carreon,Manhattan,40390,11,9,44,41,14,9,5,0,0,4,6,3,0,0,0,0,8,1,.379,.424,7,0.7,0.2,0,0,0.6,0.0,-0.5,-0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,9,9,101,9,92,0,1,0,1.000,11.22,0.9,1.010,7,5,81.0,0,30,3.33,2,2,0,0,1,1,0,0,0,0,0,-0.0,0.0
588,C,Curt Casali,Tokyo,34035,4,4,18,16,4,4,0,0,0,2,2,2,0,0,0,0,4,0,.287,.333,1,-1.3,-0.1,0,0,-1.3,0.0,-0.7,-0.7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,39,2,36,1,0,0,.974,9.50,-0.2,.000,3,1,36.0,1,22,5.50,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
455,C,Curt Casali,Nimrod,34035,3,3,12,9,2,2,0,0,0,0,1,2,0,1,0,0,3,0,.343,.333,1,-0.2,-0.0,0,0,-0.3,0.0,0.2,0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,3,3,26,1,25,0,0,0,1.000,9.36,-0.4,.000,4,0,25.0,0,25,9.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
361,C,Curt Casali,Bobble,34035,5,5,21,18,1,0,1,0,0,3,2,3,0,0,0,0,9,3,.166,.111,0,-3.9,-0.3,0,0,-3.9,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,5,5,54,6,48,0,0,0,1.000,11.05,-0.2,1.010,3,2,44.0,2,24,4.91,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
483,C,Jason Castro,Brooklyn,34535,15,14,63,52,8,7,0,0,1,3,7,11,0,0,0,0,25,0,.262,.269,3,-5.9,-0.3,0,1,-6.0,-0.3,0.2,-0.2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,15,14,150,9,141,0,0,0,1.000,10.41,0.6,.000,7,4,129.2,0,70,4.86,0,0,0,0,0,0,0,0,0,0,0,-0.9,0.0
447,C,Jason Castro,Nimrod,34535,2,1,4,3,2,2,0,0,0,0,0,1,0,0,0,0,1,0,.646,1.000,1,1.1,0.1,0,0,1.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,1,17,1,16,0,0,0,1.000,15.83,0.0,.000,2,1,9.2,0,9,8.38,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
