ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
719,SP,Joan Adon,Discord,LAMA,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,2.1,8,8,1,1,0,0,0,0,0,0,0,2,0,.167,0,0,0,0,1,0.16,30,30,3,2,0,0,1.81,0.0,0.1,0.2,2.57,1,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
193,SP,Joan Adon,Brookmont,BDD,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,7.2,40,33,10,7,2,0,1,7,7,6,0,12,0,.429,0,1,1,0,0,1.18,80,160,6,5,0,0,4.44,-0.4,0.2,-0.0,3.47,1,2,2,1,1,0,0,0,0,1.000,1.17,-0.1,1.015,0,0,7.2,0,0,0.00,2,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
663,SP,Tyler Alexander,Orlando,ORL,34760, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.2,43,41,12,9,2,0,1,4,4,2,0,10,0,.367,0,0,0,0,0,0.95,81,162,7,11,0,1,3.42,0.0,0.4,0.4,3.06,1,2,2,1,1,0,0,0,0,1.000,0.93,0.3,1.015,1,1,9.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.0,0.0
771,SP,Kolby Allard,Nebula,NEB,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,24,20,5,4,1,0,0,3,2,3,0,4,1,.312,0,0,0,1,0,1.25,95,95,6,3,0,0,4.38,-0.2,0.1,0.1,4.96,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
716,SP,Kolby Allard,Discord,LAMA,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.2,29,27,9,7,1,0,1,3,3,2,0,6,0,.400,0,0,0,0,0,0.93,99,99,4,7,1,0,4.76,-0.1,0.2,0.2,3.69,1,1,1,1,1,0,0,0,0,1.000,1.59,-0.3,1.015,1,0,5.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.0,0.0
671,SP,Kolby Allard,Tijuana,TIJ,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.1,18,17,7,5,0,0,2,5,5,1,0,3,0,.417,0,0,0,0,0,0.81,60,60,3,4,0,0,10.42,-0.4,-0.1,-0.1,4.17,1,1,1,1,0,1,0,0,0,1.000,2.70,0.1,1.015,0,0,3.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.0,0.0
645,SP,Kolby Allard,Orlando,ORL,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.1,43,36,10,2,4,0,4,8,8,7,0,7,0,.240,0,0,0,2,0,1.07,82,164,5,12,0,2,9.84,-0.2,-0.2,0.0,5.44,1,2,2,1,1,0,0,0,0,1.000,0.96,0.4,.000,2,2,9.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
634,SP,Kolby Allard,Mucha Fat Otaku,MFO,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.2,45,43,11,8,1,0,2,5,5,2,0,13,0,.321,0,0,0,1,0,0.82,91,183,10,7,0,0,4.08,0.1,0.4,0.4,2.47,1,2,2,1,1,0,0,0,0,1.000,0.84,0.1,1.015,0,0,10.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
537,SP,Kolby Allard,Corpus Christi,CC,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.2,25,22,6,3,3,0,0,3,3,3,0,5,0,.353,0,0,0,1,0,1.05,96,96,5,6,0,0,3.35,0.0,0.2,0.2,4.43,1,1,1,1,0,1,0,0,0,1.000,1.59,0.1,.000,0,0,5.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
329,SP,Kolby Allard,Heights,HEI,34581, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,14.1,67,57,18,13,3,0,2,9,8,7,0,20,3,.457,0,0,0,2,0,1.21,88,264,9,10,0,2,4.64,-0.3,0.4,0.3,2.94,1,3,3,0,0,0,0,0,0,.000,0.00,0.2,.000,2,2,14.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,-0.3,0.0
795,SP,Joaquin Andujar,Home,HOM,39117, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.2,40,33,7,2,1,0,4,7,6,6,0,11,0,.158,0,1,1,2,0,0.85,80,160,6,9,0,1,8.49,-0.3,-0.1,0.1,3.72,1,2,2,1,1,0,0,0,0,1.000,0.93,0.3,1.015,1,1,9.2,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0,-0.3,0.0
228,SP,Pedro Avila,Lake Erie,LETC,40693, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,16,14,1,0,0,0,1,2,2,2,0,4,0,.000,0,0,0,0,0,0.89,64,64,3,6,1,0,6.06,0.0,0.1,0.2,3.57,1,1,1,1,0,1,0,0,0,1.000,2.08,-0.3,.000,1,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
201,SP,Pedro Avila,Brookmont,BDD,40693, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,17,14,3,2,0,0,1,1,1,2,0,6,1,.286,0,0,0,1,0,0.81,71,71,2,3,1,0,6.02,0.1,0.1,0.2,2.36,1,1,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
445,SP,Bill Bailey,Finneytown,FIN,40481, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,0.2,9,7,5,4,0,0,1,6,6,2,0,2,0,1.000,0,0,1,0,0,0.99,40,40,0,0,0,0,25.70,-0.3,-0.1,-0.3,5.29,1,1,1,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,0.2,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,0.1,0.0
514,SP,Tanner Banks,Yavin,BUZZ,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.1,18,14,4,3,1,0,0,5,5,4,0,2,0,.333,0,0,1,0,0,1.17,80,80,4,4,0,0,5.92,-0.2,0.1,-0.1,6.89,1,1,1,1,0,1,0,0,0,1.000,2.70,0.0,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
135,SP,Tanner Banks,Gamehendge,PHSH,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,15,14,1,0,0,1,0,0,0,1,0,4,0,.100,0,0,0,0,0,0.91,65,65,2,6,0,0,2.27,0.2,0.2,0.3,2.32,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
45,SP,Tanner Banks,Chicago Heights,CH,40688, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,3.1,18,15,5,1,3,1,0,7,7,3,0,2,0,.385,0,0,0,0,0,1.10,75,75,4,4,0,0,5.02,-0.5,0.1,-0.2,6.26,1,1,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
791,SP,Tyler Beede,Home,HOM,34022, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,22,17,5,2,1,0,2,5,5,4,0,5,0,.273,0,1,0,1,0,0.56,93,93,3,5,0,0,9.52,-0.2,-0.1,-0.1,4.75,1,1,1,1,1,0,0,1,0,1.000,1.93,0.1,1.015,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
701,SP,Nelson Briles,Discord,LAMA,38887, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,0,2.1,11,10,5,3,2,0,0,1,1,1,0,1,0,.556,0,0,0,2,2,0.44,17,35,3,1,0,0,3.95,-0.1,0.1,0.1,5.67,1,2,0,1,1,0,0,0,0,1.000,3.86,0.0,1.015,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
669,SP,JT Brubaker,Orlando,ORL,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.2,47,40,11,6,2,0,3,6,6,4,0,8,2,.267,0,1,0,0,0,1.12,85,170,9,12,0,0,7.76,-0.3,-0.0,0.2,4.46,1,2,2,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,9.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
638,SP,JT Brubaker,Mucha Fat Otaku,MFO,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.2,42,34,5,3,0,1,1,5,5,8,0,12,0,.190,0,0,0,2,0,1.08,89,179,12,5,0,1,4.74,-0.0,0.3,0.4,4.29,1,2,2,1,1,0,0,0,0,1.000,0.84,0.3,1.015,1,1,10.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
324,SP,JT Brubaker,Heights,HEI,34243, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.1,47,39,9,6,1,0,2,7,5,7,0,14,1,.304,0,0,0,0,0,0.95,93,186,6,9,0,2,5.65,-0.1,0.2,0.2,3.42,1,2,2,1,0,1,0,0,0,1.000,0.87,0.4,.000,2,2,10.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
