ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
531,C,Joe Azcue,Circle City,CC,40485,5,3,13,13,4,4,0,0,0,1,0,0,0,0,0,0,3,0,.277,.400,0,-1.2,-0.1,0,0,-1.2,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,3,36,2,34,0,0,0,1.000,11.57,0.0,.000,5,2,28.0,0,21,6.75,1,1,1,1,0,0,0,0,0,0,0,-0.8,0.0
428,C,Austin Barnes,Dodgertown,DTWN,34095,1,1,4,4,2,1,0,0,1,2,2,0,0,0,0,0,1,0,.665,.500,1,1.2,0.1,0,0,1.2,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,4,0,4,0,0,0,1.000,4.50,-0.1,.000,1,0,8.0,0,14,15.75,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
218,C,Austin Barnes,Key West,KW,34095,3,1,6,5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,.125,.000,0,-1.5,-0.2,0,0,-1.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,10,0,10,0,0,0,1.000,10.00,-0.1,.000,1,0,9.0,0,18,18.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
336,C,Curt Casali,Yellowknife,Y,34035,13,12,52,44,6,4,1,0,1,5,4,7,0,0,0,1,15,1,.227,.172,0,-7.5,-0.5,0,0,-7.6,0.0,-0.3,-0.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,12,12,135,13,121,1,1,0,.993,10.96,0.5,1.052,19,10,110.0,1,60,4.91,1,1,1,1,1,1,0,0,0,0,0,-1.1,0.0
246,C,Curt Casali,Donkedonk,Foo,34035,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,0,-1.1,-0.1,0,0,-1.1,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,12,0,12,0,0,0,1.000,12.00,0.0,.000,0,0,9.0,0,6,6.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
66,C,Curt Casali,Breslau,BRE,34035,5,4,16,14,3,2,0,0,1,1,2,2,0,0,0,0,4,0,.316,.222,1,-0.9,0.0,0,0,-0.9,0.0,0.2,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,38,1,37,0,1,0,1.000,10.06,0.2,.000,1,1,34.0,0,36,9.53,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
639,C,Jason Castro,Bay View,BVB,34535,8,6,29,21,5,3,1,0,1,4,4,8,0,0,0,0,11,0,.401,.444,5,0.9,0.0,1,0,0.9,0.3,-1.7,-1.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,8,6,58,3,55,0,0,0,1.000,9.49,0.2,.000,4,2,55.0,0,33,5.40,1,1,0,0,0,0,0,0,0,0,0,-0.7,0.0
543,C,Jason Castro,Circle City,CC,34535,4,4,17,14,7,1,4,0,2,4,4,2,0,1,0,0,3,0,.675,.556,7,5.2,0.5,0,0,5.2,0.0,0.2,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,49,4,45,0,2,0,1.000,12.25,0.0,1.052,4,1,36.0,0,27,6.75,0,0,1,1,1,1,0,0,0,0,0,-0.0,0.0
387,C,Jason Castro,Wedgwood,WED,34535,18,17,78,65,11,6,2,0,3,7,9,12,0,1,0,0,27,2,.293,.229,6,-6.1,-0.4,0,0,-6.2,0.0,-1.2,-1.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,17,17,171,13,156,2,1,0,.988,10.14,-0.6,.877,8,2,150.0,2,79,4.74,1,1,0,0,4,3,0,0,0,0,0,-1.3,0.0
311,C,Jason Castro,Yellowknife,Y,34535,9,6,26,25,9,3,0,0,6,10,6,1,0,0,0,0,6,0,.539,.231,8,4.4,0.4,0,0,4.4,0.0,-0.4,-0.4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,6,6,51,2,49,0,0,0,1.000,8.94,0.1,.000,2,1,51.1,0,35,6.14,1,1,0,0,0,0,0,0,0,0,0,0.1,0.0
64,C,Jason Castro,Breslau,BRE,34535,3,2,9,9,2,2,0,0,0,0,0,0,0,0,0,0,3,0,.200,.333,0,-1.5,-0.1,0,0,-1.6,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,2,26,2,24,0,0,0,1.000,11.70,-0.1,.000,1,0,20.0,0,14,6.30,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
745,C,William Contreras,Modesto,MOD,34508,14,11,54,48,20,9,3,0,8,17,10,6,0,0,0,0,11,1,.560,.414,18,10.3,0.8,1,0,10.3,0.4,-1.4,-1.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,7,7,87,5,82,0,0,0,1.000,12.49,-0.1,.000,5,2,62.2,0,29,4.16,0,0,0,0,1,0,0,0,0,0,0,-0.5,0.0
622,C,William Contreras,Pack,PACK,34508,5,5,22,18,5,3,0,0,2,4,4,3,0,1,0,0,6,0,.420,.300,4,1.1,0.2,0,0,1.1,0.0,0.1,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,40,6,34,0,0,0,1.000,9.64,0.7,1.052,4,3,37.1,0,15,3.62,0,0,1,1,2,2,0,0,0,0,0,0.1,0.0
378,C,William Contreras,Wedgwood,WED,34508,24,17,81,68,22,11,4,0,7,18,17,12,1,1,0,0,24,3,.445,.405,18,6.0,0.6,0,0,6.0,0.0,0.6,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,6,5,56,4,52,0,0,0,1.000,10.96,0.3,.000,3,2,46.0,0,21,4.11,0,0,0,0,0,0,0,0,0,0,0,-0.9,0.0
