Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
Tommy La Stella,SFG,2,6,7,3,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0.5,12371
Jaylin Davis,BOS,2,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,19552
Joe Dunand,MIA,1,4,4,2,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0.5,19727
Elehuris Montero,COL,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,20543
Tucupita Marcano,PIT,1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,22871
Sam Huff,TEX,5,18,18,8,8,0,0,0,2,3,0,0,6,0,0,0,0,1,0,0.444,22209
Rob Refsnyder,BOS,3,5,6,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4,13770
Miguel Andujar,NYY,2,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,15878
Yonathan Daza,COL,27,72,80,27,24,2,1,0,10,8,5,0,6,2,1,0,2,0,2,0.375,15794
Taylor Ward,LAA,29,104,127,39,23,5,2,9,26,23,23,0,26,0,0,0,1,1,2,0.375,17548
Edward Olivares,KCR,15,35,38,13,9,4,0,0,5,3,2,0,5,1,0,0,0,2,1,0.371,19698
Manny Machado,SDP,38,141,162,50,35,8,0,7,27,23,19,3,29,1,1,0,4,6,0,0.355,11493
Danny Jansen,TOR,8,17,20,6,2,1,0,3,4,4,2,0,2,1,0,0,0,0,0,0.353,16535
Luis Gonzalez,SFG,21,63,73,22,17,3,0,2,11,15,6,0,10,1,3,0,2,3,1,0.349,20332
Manuel Margot,TBR,27,92,102,32,25,3,1,3,10,21,9,1,13,1,0,0,2,5,1,0.348,14712
Garrett Stubbs,PHI,9,23,25,8,5,2,1,0,1,2,2,0,5,0,0,0,1,1,0,0.348,18067
Luis Barrera,OAK,10,23,27,8,7,0,0,1,2,5,3,0,3,0,1,0,1,1,0,0.348,19615
Josh Naylor,CLE,20,72,77,25,16,4,0,5,10,22,3,0,10,1,1,0,5,0,0,0.347,18839
Tim Anderson,CHW,33,136,145,47,35,8,0,4,20,15,5,1,17,4,0,0,3,7,0,0.346,15172
J.D. Martinez,BOS,31,122,133,42,23,14,0,5,18,20,8,0,32,1,2,0,6,0,0,0.344,6184
Eric Hosmer,SDP,36,134,147,45,33,8,0,4,15,24,13,3,22,0,0,0,3,0,0,0.336,3516
Rafael Devers,BOS,38,158,165,53,30,15,1,7,25,21,7,1,29,0,0,0,2,0,0,0.335,17350
Juan Yepez,STL,14,54,59,18,12,3,0,3,8,5,4,0,10,1,0,0,0,0,0,0.333,18400
Gilberto Celestino,MIN,25,57,63,19,15,4,0,0,8,3,3,0,16,2,0,1,3,0,0,0.333,20233
Heliot Ramos,SFG,4,6,7,2,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0.333,22515
Xander Bogaerts,BOS,37,142,157,47,35,8,0,4,21,16,12,0,32,2,1,0,3,2,0,0.331,12161
Paul Goldschmidt,STL,37,143,162,47,27,14,0,6,24,27,17,0,30,0,1,0,1,3,0,0.329,9218
Yadiel Hernandez,WSN,29,104,112,34,23,8,0,3,12,20,7,0,25,0,1,0,5,1,1,0.327,19334
Bryan De La Cruz,MIA,26,40,48,13,9,3,0,1,6,5,6,0,10,1,1,0,2,0,0,0.325,19600
Tyler Stephenson,CIN,25,77,86,25,16,5,0,4,13,20,6,0,24,2,1,0,1,1,0,0.325,17988
Luis Arraez,MIN,30,96,113,31,25,5,0,1,12,9,16,1,7,1,0,0,1,2,1,0.323,18568
Ty France,SEA,39,155,176,50,38,6,0,6,16,28,13,1,19,6,1,0,0,0,0,0.323,17982
Willi Castro,DET,22,59,64,19,15,3,0,1,6,4,4,0,8,0,1,0,1,1,2,0.322,17338
Harold Ramirez,TBR,28,78,86,25,21,4,0,0,11,8,5,0,10,2,1,0,0,1,2,0.321,14387
Mike Trout,LAA,35,122,146,39,17,10,1,11,32,23,22,2,35,2,0,0,2,0,0,0.32,10155
C.J. Cron,COL,37,144,156,46,26,9,1,10,23,30,9,1,40,2,1,0,2,0,0,0.319,12546
Josh Bell,WSN,38,136,160,43,32,7,0,4,23,22,19,1,17,2,1,0,11,0,1,0.316,13145
Orlando Arcia,ATL,13,38,44,12,9,2,0,1,3,7,5,0,12,0,1,0,1,0,0,0.316,13185
Alek Thomas,ARI,12,38,39,12,7,3,0,2,6,4,1,0,8,0,0,0,0,0,0,0.316,23792
Brendan Donovan,STL,20,38,51,12,7,4,0,1,9,5,11,0,9,2,0,0,1,1,0,0.316,24679
Jeff McNeil,NYM,38,134,147,42,31,9,1,1,18,21,11,0,17,1,1,0,0,1,0,0.313,15362
Trevor Larnach,MIN,22,67,74,21,12,9,0,0,12,7,6,0,23,0,1,0,0,0,0,0.313,21501
Cam Gallagher,KCR,8,16,18,5,3,2,0,0,1,2,1,0,4,0,0,1,0,0,0,0.313,12981
Freddie Freeman,LAD,37,138,164,43,25,14,1,3,23,19,22,2,22,2,2,0,2,2,0,0.312,5361
Andres Gimenez,CLE,32,100,104,31,19,6,2,4,13,20,3,0,23,0,1,0,2,3,0,0.31,19950
Royce Lewis,MIN,11,39,40,12,6,4,0,2,5,5,1,0,5,0,0,0,2,0,0,0.308,20437
Aaron Judge,NYY,36,137,156,42,21,7,0,14,32,30,17,0,41,0,1,0,3,2,0,0.307,15640
Andrew Benintendi,KCR,37,134,150,41,34,3,2,2,12,16,13,0,21,1,2,0,1,0,0,0.306,17901
Bryce Harper,PHI,34,131,147,40,16,14,1,9,29,27,11,1,33,2,3,0,5,6,1,0.305,11579
Luis Rengifo,LAA,9,23,27,7,6,1,0,0,3,0,2,0,5,1,0,1,0,0,1,0.304,19858
Jazz Chisholm Jr.,MIA,31,115,128,35,17,7,4,7,20,27,8,0,29,1,3,0,0,6,2,0.304,20454
Joey Wendle,MIA,25,79,87,24,16,6,0,2,12,10,7,0,10,1,0,0,0,4,0,0.304,13853
Tom Murphy,SEA,14,33,42,10,7,2,0,1,9,1,8,0,13,0,0,0,1,0,0,0.303,13499
Jose Iglesias,COL,30,106,115,32,24,8,0,0,13,11,5,0,12,4,0,0,3,0,0,0.302,10231
Luis Robert,CHW,30,123,130,37,28,3,0,6,21,17,6,0,20,1,0,0,1,6,1,0.301,20043
Dustin Garneau,DET,8,10,11,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.3,9433
Jon Berti,MIA,17,40,50,12,7,2,1,2,10,4,9,0,11,1,0,0,1,2,1,0.3,12037
J.P. Crawford,SEA,36,130,150,39,27,7,1,4,16,11,14,0,25,4,2,0,0,1,1,0.3,15491
Alec Bohm,PHI,36,120,134,36,28,5,1,2,17,15,8,0,24,1,5,0,5,1,1,0.3,21618
Jonah Heim,TEX,24,74,84,22,13,5,0,4,15,14,10,0,12,0,0,0,2,0,0,0.297,16930
Nolan Arenado,STL,37,138,153,41,20,12,0,9,17,31,14,1,23,0,1,0,2,0,0,0.297,9777
Giancarlo Stanton,NYY,35,135,150,40,26,3,0,11,15,35,12,1,39,0,3,0,1,0,0,0.296,4949
Albert Almora Jr.,CIN,9,27,29,8,6,2,0,0,4,1,1,0,7,0,0,1,2,1,0,0.296,14109
Francisco Mejia,TBR,15,44,45,13,9,2,0,2,7,13,0,0,12,0,1,0,0,0,0,0.295,16403
Jonathan India,CIN,11,44,45,13,11,2,0,0,5,3,1,0,10,0,0,0,1,0,1,0.295,21523
Jean Segura,PHI,32,119,129,35,26,3,0,6,19,14,9,0,21,1,0,0,5,5,1,0.294,5933
Mark Canha,NYM,30,102,117,30,26,1,0,3,16,14,10,0,24,4,1,0,0,0,1,0.294,11445
Luis Urias,MIL,14,51,62,15,12,1,0,2,10,6,8,0,11,2,1,0,0,0,1,0.294,16622
Owen Miller,CLE,29,102,116,30,14,12,0,4,23,15,11,0,23,0,3,0,2,0,0,0.294,24655
Luis Guillorme,NYM,24,58,68,17,12,4,0,1,8,3,8,0,11,0,0,2,5,1,0,0.293,16451
Harold Castro,DET,22,65,68,19,14,3,1,1,8,6,2,0,12,0,1,0,2,0,0,0.292,14691
Trey Mancini,BAL,36,137,152,40,32,5,0,3,13,14,11,0,31,2,2,0,1,0,0,0.292,15149
Victor Reyes,DET,11,24,26,7,4,2,1,0,1,4,2,0,4,0,0,0,1,0,1,0.292,15487
Mike Yastrzemski,SFG,28,93,109,27,18,6,0,3,16,13,12,0,18,2,2,0,1,0,1,0.29,14854
Ke'Bryan Hayes,PIT,34,121,141,35,25,10,0,0,14,9,18,0,26,1,1,0,2,4,2,0.289,18577
Santiago Espinal,TOR,38,121,135,35,21,12,0,2,13,15,11,1,25,1,2,0,2,3,1,0.289,19997
Didi Gregorius,PHI,18,59,65,17,13,4,0,0,7,7,3,0,10,2,1,0,0,0,0,0.288,6012
Hunter Dozier,KCR,34,125,133,36,23,7,2,4,16,11,7,0,29,1,0,0,2,1,2,0.288,15117
Yandy Diaz,TBR,32,108,131,31,25,3,0,3,17,9,21,0,12,2,0,0,2,0,2,0.287,16578
Brandon Nimmo,NYM,35,129,153,37,24,7,3,3,23,14,21,0,23,1,0,2,3,0,0,0.287,12927
Austin Hays,BAL,34,129,145,37,23,11,0,3,14,13,13,0,23,2,1,0,2,0,1,0.287,19363
Miguel Cabrera,DET,33,119,130,34,26,5,0,3,12,14,8,2,35,1,2,0,4,0,0,0.286,1744
Jose Altuve,HOU,25,98,110,28,16,4,0,8,18,13,11,0,20,1,0,0,5,2,1,0.286,5417
Jason Vosler,SFG,12,35,41,10,7,1,0,2,5,5,5,1,10,0,1,0,1,0,1,0.286,16686
Alex Jackson,MIL,3,7,7,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.286,17276
Michael Chavis,PIT,30,91,98,26,17,4,2,3,9,14,4,0,24,0,3,0,1,0,1,0.286,17321
Zach Reks,TEX,6,14,14,4,3,1,0,0,2,3,0,0,6,0,0,0,0,0,1,0.286,19667
Christopher Morel,CHC,3,7,9,2,1,0,0,1,1,1,2,0,2,0,0,0,0,1,0,0.286,21897
Michael Brantley,HOU,33,130,145,37,25,8,1,3,15,15,13,1,16,1,0,1,0,0,1,0.285,4106
Vladimir Guerrero Jr.,TOR,37,134,155,38,27,4,0,7,17,21,16,2,28,3,2,0,8,0,1,0.284,19611
Keibert Ruiz,WSN,30,110,122,31,22,8,0,1,11,11,9,0,12,2,1,0,1,1,0,0.282,19610
Brandon Marsh,LAA,34,110,125,31,23,4,0,4,16,22,9,0,40,2,3,1,0,3,2,0.282,20202
Kris Bryant,COL,15,57,65,16,12,4,0,0,11,4,5,0,12,1,2,0,1,0,0,0.281,15429
Jose Ramirez,CLE,35,132,154,37,19,8,2,8,21,34,20,0,14,1,1,0,2,3,1,0.28,13510
Isaac Paredes,TBR,9,25,25,7,4,1,0,2,4,4,0,0,5,0,0,0,1,0,0,0.28,20036
Trea Turner,LAD,37,143,160,40,28,9,1,2,18,27,14,0,29,1,2,0,2,7,1,0.28,16252
Ji-Man Choi,TBR,23,68,80,19,12,5,0,2,7,15,12,1,26,0,0,0,0,0,0,0.279,5452
Mike Brosseau,MIL,21,43,48,12,9,1,0,2,4,8,5,0,11,0,0,0,0,1,0,0.279,19683
Connor Joe,COL,34,133,152,37,26,5,2,4,22,11,18,0,26,1,0,0,3,2,2,0.278,16572
Cesar Hernandez,WSN,39,162,175,45,35,9,1,0,21,8,10,0,35,2,0,1,5,2,1,0.278,10556
Pete Alonso,NYM,40,152,173,42,26,6,0,10,24,36,14,2,38,5,2,0,3,1,0,0.276,19251
Jeremy Pena,HOU,33,116,131,32,19,5,1,7,20,21,10,0,31,2,2,0,1,2,0,0.276,21636
Randal Grichuk,COL,28,109,118,30,22,3,0,5,14,21,6,0,33,2,1,0,2,1,0,0.275,10243
Ryan McMahon,COL,36,131,149,36,23,8,1,4,20,20,15,0,41,3,0,0,0,0,1,0.275,15112
Patrick Mazeika,NYM,4,11,12,3,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0.273,18142
Wander Franco,TBR,36,147,155,40,26,9,1,4,23,16,6,1,15,0,2,0,2,4,0,0.272,23667
Sheldon Neuse,OAK,35,125,137,34,27,3,2,2,14,14,10,0,38,2,0,0,1,4,1,0.272,19635
Isiah Kiner-Falefa,NYY,35,114,128,31,25,6,0,0,19,10,10,0,24,1,3,0,4,5,1,0.272,16512
Ian Happ,CHC,35,114,138,31,23,5,0,3,19,17,22,1,28,1,1,0,3,2,0,0.272,17919
Tucker Barnhart,DET,27,81,86,22,19,3,0,0,3,4,5,0,28,0,0,0,2,0,0,0.272,10200
Nick Castellanos,PHI,37,140,155,38,24,9,0,5,18,21,12,0,38,2,1,0,2,2,0,0.271,11737
Nico Hoerner,CHC,29,96,99,26,19,4,1,2,6,11,2,0,14,1,0,0,1,2,1,0.271,21479
Thairo Estrada,SFG,36,133,144,36,25,9,0,2,24,20,7,0,20,1,3,0,2,6,0,0.271,16426
Richie Palacios,CLE,12,37,39,10,9,1,0,0,1,2,2,0,5,0,0,0,0,1,0,0.27,24589
Ben Gamel,PIT,37,115,128,31,21,6,1,3,15,15,13,0,28,0,0,0,0,2,1,0.27,12160
